timesteps,total_reward,kl_divergence,entropy_loss,clip_fraction,step_reward,pipe_changes,cumulative_pipe_changes,cumulative_budget,pressure_deficit,demand_satisfaction,cost_of_intervention,simulation_success,weighted_cost,weighted_pd,weighted_demand,action_taken
100,0.09980732,0.0,0.0,0.0,0.09980731997032487,0.0,-806535.7882431078,0.0,1.0,4817.00074187878,True,0.3980731997032485,0.3,0.3,0,0
130,0.0,0.0,0.0,0.0,0.0,,,,,,False,,,,0,0
200,0.099429235,0.0,0.0,0.0,0.09942923758403965,1.0,-615501.6720785412,0.0,1.0,14269.06039900866,True,0.39429237584039656,0.3,0.3,1,6
203,0.0,0.0,0.0,0.0,0.0,0.0,-1000905.8790121869,0.0,1.0,4432.756977881902,True,0.39822689720884724,0.3,0.3,1,0
281,0.0,0.0,0.0,0.0,0.0,0.0,-1003547.4312703074,0.0,1.0,4596.106277127039,True,0.3981615574891492,0.3,0.3,1,0
300,0.9130672,0.0,0.0,0.0,0.9130672090014214,0.0,12731298.059101207,16.811893625259398,0.733760614658706,4817.065194972322,True,0.39807317392201114,0.29960729841203315,0.21538673666737707,1,0
357,0.0,0.0,0.0,0.0,0.0,0.0,-1003621.141828293,0.0,1.0,4628.069962907027,True,0.3981487720148372,0.3,0.3,1,0
400,0.99805856,0.0,0.0,0.0,0.9980585280843441,0.0,4959388.636748184,0.0,1.0,4853.679789140015,True,0.39805852808434405,0.3,0.3,1,0
427,0.0,0.0,0.0,0.0,0.0,0.0,-1004220.9537280599,0.0,1.0,4643.7466130406365,True,0.39814250135478374,0.3,0.3,1,0
500,0.08838039,0.0,0.0,0.0,0.08838038812401738,1.0,-967525.7457623472,0.0,1.0,290490.29689956555,True,0.2838038812401738,0.3,0.3,2,2
508,0.0,0.0,0.0,0.0,0.0,0.0,-1004148.160644376,0.0,1.0,4462.829214921263,True,0.3982148683140315,0.3,0.3,2,0
588,0.0,0.0,0.0,0.0,0.0,1.0,-1004199.8961482065,0.0,1.0,4653.846868699862,True,0.39813846125252006,0.3,0.3,3,6
600,0.4427013,0.0,0.0,0.0,0.4427013163010583,1.0,15043177.029091366,133.4930703163147,0.5148552208502947,1184841.35944613,True,0.0,0.29692500510894515,0.14577631119211315,4,6
694,0.0,0.0,0.0,0.0,0.0,0.0,-1001597.956930232,0.0,1.0,4668.094766623217,True,0.39813276209335074,0.3,0.3,4,0
700,0.38636982,0.0,0.0,0.0,0.3863698242340389,1.0,18246962.917791303,371.7574645233154,0.21544239037587315,889858.6160875753,True,0.044056553564969875,0.2920721416210678,0.0502411290480012,5,6
800,0.09980584,0.0,0.0,0.0,0.09980583737672502,0.0,-989880.3280732814,0.0,1.0,4854.065581875004,True,0.39805837376725006,0.3,0.3,5,0
803,0.0,0.0,0.0,0.0,0.0,0.0,-1004442.5248189066,0.0,1.0,4854.065581875004,True,0.39805837376725006,0.3,0.3,5,0
869,0.0,0.0,0.0,0.0,0.0,0.0,-1000387.4417738642,0.0,1.0,4648.735082674333,True,0.3981405059669303,0.3,0.3,5,0
900,0.8837084,0.0,0.0,0.0,0.8837084059794749,1.0,9022355.489870237,0.0,1.0,290728.98505131295,True,0.28370840597947483,0.3,0.3,6,2
939,0.0,0.0,0.0,0.0,0.0,0.0,-1002224.6038538984,0.0,1.0,4516.084549766283,True,0.3981935661800935,0.3,0.3,6,0
1000,0.86747515,0.0,0.0,0.0,0.8674751808288321,1.0,3123342.487587725,0.0,1.0,331312.0479279196,True,0.2674751808288322,0.3,0.3,7,3
1059,0.0,0.0,0.0,0.0,0.0,0.0,-1002974.2915063839,0.0,1.0,4647.175582588667,True,0.3981411297669646,0.3,0.3,7,0
1100,0.8673305,0.0,0.0,0.0,0.867330488520961,1.0,5535670.239748744,0.0,1.0,331673.7786975978,True,0.26733048852096086,0.3,0.3,8,3
1136,0.0,0.0,0.0,0.0,0.0,0.0,-1001820.1384222519,0.0,1.0,4697.75155834602,True,0.3981208993766616,0.3,0.3,8,0
1200,0.099814475,0.0,0.0,0.0,0.09981447441593315,0.0,-752247.1044436735,0.0,1.0,4638.139601671712,True,0.3981447441593313,0.3,0.3,8,0
1292,0.0,0.0,0.0,0.0,0.0,1.0,-1001482.1330927644,0.0,1.0,14369.13201754831,True,0.3942523471929807,0.3,0.3,9,6
1300,0.7986408,0.0,0.0,0.0,0.7986408112012111,1.0,17273107.416026272,16.234226984977724,0.7336519436182249,290730.34061423404,True,0.2837078637543064,0.2996331583218404,0.21529978912506434,10,2
1396,0.0,0.0,0.0,0.0,0.0,0.0,-1000853.9005767442,0.0,1.0,4707.47487539182,True,0.3981170100498433,0.3,0.3,10,0
1400,0.72632813,0.0,0.0,0.0,0.726328127542303,0.0,18770098.688264392,468.6352881813049,0.17976745578658596,4821.111995818118,True,0.39807155520167276,0.2888380298056096,0.039418542535020674,10,0
1477,0.0,0.0,0.0,0.0,0.0,0.0,-1000268.0013884997,0.0,1.0,4582.415842887689,True,0.39816703366284495,0.3,0.3,10,0
1500,0.9980646,0.0,0.0,0.0,0.9980645587822528,0.0,10417757.135893224,0.0,1.0,4838.603044368052,True,0.39806455878225283,0.3,0.3,10,0
1594,0.0,0.0,0.0,0.0,0.0,0.0,-1002013.4044794529,0.0,1.0,4762.00437496785,True,0.3980951982500129,0.3,0.3,10,0
1600,0.52555436,0.0,0.0,0.0,0.5255543809621452,1.0,19070372.32494674,724.424442367554,0.10630239620759295,433643.45377904485,True,0.22654261848838209,0.28301772498638933,0.01599403748737377,11,2
1684,0.0,0.0,0.0,0.0,0.0,0.0,-1002329.2962541926,0.0,1.0,4870.199549068172,True,0.3980519201803727,0.3,0.3,11,0
1700,0.4834618,0.0,0.0,0.0,0.48346179892514307,1.0,13128104.019624295,492.081189880371,0.1578204608327713,594854.8881801884,True,0.16205804472792465,0.28950619595679067,0.03189755824042774,12,6
1800,0.099810615,0.0,0.0,0.0,0.09981061228426956,0.0,-884178.4579448736,0.0,1.0,4734.692893261387,True,0.3981061228426955,0.3,0.3,12,0
1846,0.0,0.0,0.0,0.0,0.0,0.0,-1000495.5873946353,0.0,1.0,4553.994912878088,True,0.3981784020348488,0.3,0.3,12,0
1900,0.7621286,0.0,0.0,0.0,0.7621285845132844,1.0,4459120.393276571,0.0,1.0,594678.5387167892,True,0.16212858451328432,0.3,0.3,13,6
1959,0.0,0.0,0.0,0.0,0.0,1.0,-1003475.6341025666,0.0,1.0,10892.479271994845,True,0.3956430082912021,0.3,0.3,14,4
2000,0.86731917,0.0,0.0,0.0,0.8673191761935262,1.0,7319336.52365316,0.0,1.0,331702.0595161843,True,0.26731917619352624,0.3,0.3,15,3
2072,0.0,0.020411711186170578,-1.118268409371376,0.147021484375,0.0,0.0,-1000582.3964199948,0.0,1.0,4747.5201462124105,True,0.39810099194151505,0.3,0.3,15,0
2100,0.8492163,0.020411711186170578,-1.118268409371376,0.147021484375,0.8492163098695249,1.0,9987799.834252901,0.0,1.0,376959.22532618773,True,0.24921630986952492,0.3,0.3,16,4
2148,0.0,0.020411711186170578,-1.118268409371376,0.147021484375,0.0,1.0,-1002384.6855209481,0.0,1.0,376761.9613990712,True,0.24929521544037156,0.3,0.3,17,4
2200,0.99816906,0.020411711186170578,-1.118268409371376,0.147021484375,0.9981690854342358,0.0,6399283.969603425,0.0,1.0,4577.286414410827,True,0.3981690854342357,0.3,0.3,17,0
2222,0.0,0.020411711186170578,-1.118268409371376,0.147021484375,0.0,0.0,-1003471.9118532232,0.0,1.0,4610.421100799462,True,0.39815583155968026,0.3,0.3,17,0
2300,0.09981834,0.020411711186170578,-1.118268409371376,0.147021484375,0.09981834186846039,0.0,-177836.91843909252,0.0,1.0,4541.453288490313,True,0.3981834186846039,0.3,0.3,17,0
2372,0.0,0.020411711186170578,-1.118268409371376,0.147021484375,0.0,0.0,-1001354.1526681457,0.0,1.0,4529.6957329319,True,0.39818812170682727,0.3,0.3,17,0
2400,0.849209,0.020411711186170578,-1.118268409371376,0.147021484375,0.8492089923748636,1.0,9834656.27371264,0.0,1.0,376977.51906284114,True,0.24920899237486355,0.3,0.3,18,4
2464,0.0,0.020411711186170578,-1.118268409371376,0.147021484375,0.0,0.0,-1003657.899082644,0.0,1.0,4850.753132776341,True,0.39805969874688946,0.3,0.3,18,0
2500,0.9980675,0.020411711186170578,-1.118268409371376,0.147021484375,0.9980675219234436,0.0,9010539.335295243,0.0,1.0,4831.195191391252,True,0.3980675219234435,0.3,0.3,18,0
2535,0.0,0.020411711186170578,-1.118268409371376,0.147021484375,0.0,0.0,-1001271.1116668031,0.0,1.0,4578.446913516882,True,0.3981686212345933,0.3,0.3,18,0
2600,0.07621367,0.020411711186170578,-1.118268409371376,0.147021484375,0.07621367514866191,1.0,-869852.6143358519,0.0,1.0,594658.1212834523,True,0.1621367514866191,0.3,0.3,19,6
2700,0.09981975,0.020411711186170578,-1.118268409371376,0.147021484375,0.09981975091538393,0.0,-909639.6660402006,0.0,1.0,4506.227115401823,True,0.3981975091538393,0.3,0.3,19,0
2742,0.0,0.020411711186170578,-1.118268409371376,0.147021484375,0.0,0.0,-1004251.1527150795,0.0,1.0,4812.683256990219,True,0.3980749266972039,0.3,0.3,19,0
2800,0.998151,0.020411711186170578,-1.118268409371376,0.147021484375,0.9981509973219553,0.0,2315593.599296776,0.0,1.0,4622.506695111904,True,0.39815099732195525,0.3,0.3,19,0
2842,0.0,0.020411711186170578,-1.118268409371376,0.147021484375,0.0,0.0,-1003159.1593215374,0.0,1.0,4833.586796581178,True,0.3980665652813675,0.3,0.3,19,0
2900,0.9981862,0.020411711186170578,-1.118268409371376,0.147021484375,0.9981861833578136,0.0,1074868.1975388778,0.0,1.0,4534.541605465824,True,0.3981861833578137,0.3,0.3,19,0
2923,0.0,0.020411711186170578,-1.118268409371376,0.147021484375,0.0,0.0,-1001619.6469165357,0.0,1.0,4559.542173194709,True,0.3981761831307221,0.3,0.3,19,0
3000,0.9981442,0.020411711186170578,-1.118268409371376,0.147021484375,0.9981442320621967,0.0,1114311.5416468442,0.0,1.0,4639.419844508539,True,0.3981442320621966,0.3,0.3,19,0
3078,0.0,0.020411711186170578,-1.118268409371376,0.147021484375,0.0,0.0,-1002931.3403496299,0.0,1.0,4515.240423305149,True,0.39819390383067793,0.3,0.3,19,0
3100,0.8837087,0.020411711186170578,-1.118268409371376,0.147021484375,0.8837086908727212,1.0,12799164.628419098,0.0,1.0,290728.2728181971,True,0.2837086908727212,0.3,0.3,20,2
3152,0.0,0.020411711186170578,-1.118268409371376,0.147021484375,0.0,0.0,-1000335.6167765227,0.0,1.0,4576.700526770468,True,0.3981693197892918,0.3,0.3,20,0
3200,0.7621461,0.020411711186170578,-1.118268409371376,0.147021484375,0.7621461241354124,1.0,4999087.04833599,0.0,1.0,594634.6896614692,True,0.16214612413541235,0.3,0.3,21,6
3300,0.09981613,0.020411711186170578,-1.118268409371376,0.147021484375,0.09981613065914306,0.0,-738050.6985620636,0.0,1.0,4596.73352142367,True,0.39816130659143056,0.3,0.3,21,0
3378,0.0,0.020411711186170578,-1.118268409371376,0.147021484375,0.0,0.0,-1000120.7304284277,0.0,1.0,4541.333782858612,True,0.3981834664868566,0.3,0.3,21,0
