timesteps,total_reward,kl_divergence,entropy_loss,clip_fraction,step_reward,pipe_changes,cumulative_budget,pressure_deficit,demand_satisfaction,cost_of_intervention,simulation_success,weighted_cost,weighted_pd,weighted_demand
2600,0,0.020879991352558136,-1.9352242164313793,0.156103515625,0.0,1,-10228291.0,33564.543,1.4672357737607234e-07,268065.0,True,0.32439783333333333,0.3286686195060611,0.0
2685,0,0.020879991352558136,-1.9352242164313793,0.156103515625,0.0,1,-10419649.8,115807.39,1.601831479125174e-07,428050.0,True,0.319065,0.3163171348472436,9.870896895435473e-09
2745,0,0.020879991352558136,-1.9352242164313793,0.156103515625,0.0,1,-10088275.6,603.6567,-3.664067308330631e-07,172949.5,True,0.32756834999999995,0.33324463483101374,0.0
2802,0,0.020879991352558136,-1.9352242164313793,0.156103515625,0.0,1,-10840165.5,83354.7,2.2146746067014045e-07,854943.0,True,0.3048352333333333,0.32239496211210883,3.275193228103811e-08
2884,0,0.020879991352558136,-1.9352242164313793,0.156103515625,0.0,1,-10022855.7,262168.34,-3.1968923758401864e-07,101735.0,True,0.32994216666666665,0.2951951424280802,0.0
2961,0,0.020879991352558136,-1.9352242164313793,0.156103515625,0.0,1,-10154474.1,11385.854,-3.1968923758401864e-07,195680.0,True,0.32681066666666664,0.33167700888589025,0.0
3041,0,0.020879991352558136,-1.9352242164313793,0.156103515625,0.0,1,-10286699.1,5251.4336,1.9116463524446848e-07,856100.0,True,0.30479666666666666,0.3325779652999093,1.282987267708801e-07
3111,0,0.020879991352558136,-1.9352242164313793,0.156103515625,0.0,1,-10323378.5,168520.25,1.2760549016355639e-07,435537.0,True,0.3188154333333333,0.30906208356221515,4.2535163387852124e-08
3191,0,0.020879991352558136,-1.9352242164313793,0.156103515625,0.0,1,-10357771.2,1081679.6,1.2760549016355639e-07,1129170.0,True,0.2956943333333333,0.1775436500708262,4.2535163387852124e-08
3267,0,0.020879991352558136,-1.9352242164313793,0.156103515625,0.0,1,-10021307.600000001,614663.25,1.2760549016355639e-07,274227.0,True,0.3241924333333333,0.24480602145195007,4.2535163387852124e-08
3356,0,0.020879991352558136,-1.9352242164313793,0.156103515625,0.0,1,-10408135.9,31356.34,-3.1968923758401864e-07,483930.0,True,0.3172023333333333,0.3287718594074249,0.0
3442,0,0.020879991352558136,-1.9352242164313793,0.156103515625,0.0,1,-10190178.899999999,44745.586,1.601831479125174e-07,258096.0,True,0.32473013333333334,0.3267586249858141,9.870896895435473e-09
3505,0,0.020879991352558136,-1.9352242164313793,0.156103515625,0.0,1,-10157289.600000001,51505.676,-3.664067308330631e-07,234480.0,True,0.3255173333333333,0.3257653291026751,0.0
3572,0,0.020879991352558136,-1.9352242164313793,0.156103515625,0.0,1,-10145701.1,2075.405,2.2146746067014045e-07,210356.0,True,0.3263214666666666,0.3330609845773627,3.275193228103811e-08
3640,0,0.020879991352558136,-1.9352242164313793,0.156103515625,0.0,1,-10268109.599999998,84032.91,3.339570737016317e-07,306489.0,True,0.3231170333333333,0.321108886351188,4.6367547787880726e-08
3703,0,0.020879991352558136,-1.9352242164313793,0.156103515625,0.0,1,-10158681.899999999,1350.4297,-1.4921014094110276e-07,366900.0,True,0.3211033333333333,0.33313883672235534,0.0
3760,0,0.020879991352558136,-1.9352242164313793,0.156103515625,0.0,1,-10262092.1,2430.4775,1.4672357737607234e-07,854943.0,True,0.3048352333333333,0.3329955518323307,0.0
3820,0,0.020879991352558136,-1.9352242164313793,0.156103515625,0.0,1,-10151760.1,527.25006,-3.664067308330631e-07,274227.0,True,0.3241924333333333,0.33325586166271626,0.0
3877,0,0.020879991352558136,-1.9352242164313793,0.156103515625,0.0,1,-10097802.1,7529.6206,-3.664067308330631e-07,854943.0,True,0.3048352333333333,0.33222696596446133,0.0
3941,0,0.020879991352558136,-1.9352242164313793,0.156103515625,0.0,1,-10002985.899999999,31234.242,2.2146746067014045e-07,489200.0,True,0.3170266666666667,0.32923456374555826,3.275193228103811e-08
4021,0,0.020879991352558136,-1.9352242164313793,0.156103515625,0.0,1,-10913175.0,54347.39,3.2397060899103326e-08,1129170.0,True,0.2956943333333333,0.32620149912933505,0.0
4078,0,0.020879991352558136,-1.9352242164313793,0.156103515625,0.0,1,-10735948.9,553.44653,-1.4921014094110276e-07,854943.0,True,0.3048352333333333,0.333253622802052,0.0
4137,0,0.018021706491708755,-1.904802004247904,0.2390625,0.0,1,-10214761.0,145096.53,2.2146746067014045e-07,317980.0,True,0.32273399999999997,0.31429277981321013,3.275193228103811e-08
