timesteps,total_reward,kl_divergence,clip_fraction,entropy_loss,step_reward,cost_of_intervention,pressure_deficit,demand_satisfaction,pipe_changes,downgraded_pipes,budget_before_step,budget_exceeded,simulation_error
1032,,,,,0.0850245343093293,4469256.501476237,1.0,0.9999999847795655,8,,500000.0,True,
1376,,,,,0.08334875498246144,5977566.231989071,1.0,1.0,11,,500000.0,True,
1376,,,,,0.08452944074846212,4914762.916883177,1.0,0.9999999880110932,8,,500000.0,True,
1376,,,,,0.08711043485568282,2596892.309072551,1.0,1.0,5,,500000.0,True,
1376,,,,,0.07786939131079174,10898166.985720318,1.0,0.9999999986820659,21,,500000.0,True,
1376,,,,,0.07927635824992951,9632440.431688804,1.0,0.9999999863164402,21,,500000.0,True,
1376,,,,,0.08683860652668485,2769910.3918165793,1.0,0.9999999869753621,7,,500000.0,True,
1376,,,,,0.08407776000349793,5320553.946803178,1.0,0.9999999880110932,7,,500000.0,True,
1376,,,,,0.08594463127149611,3642771.290673976,1.0,0.9999999934112973,6,,500000.0,True,
1720,,,,,0.0856009306069805,3953504.4367447095,1.0,0.9999999835286204,6,,500000.0,True,
1720,,,,,0.08742385100668598,2314418.019359183,1.0,0.9999999879147656,3,,500000.0,True,
1720,,,,,0.08759246314570014,2155195.373693593,1.0,0.9995275793756312,4,,500000.0,True,
1720,,,,,0.08043437562297259,8593779.136957662,1.0,0.9999999993662835,15,,500000.0,True,
1720,,,,,0.08392646626179533,5455511.564990822,1.0,0.9999999903980862,11,,500000.0,True,
1720,,,,,0.0862812600686273,3258238.698512377,1.0,0.9999999517468117,6,,500000.0,True,
1720,,,,,0.08497841619695722,4511402.329860932,1.0,0.9999999879147656,6,,500000.0,True,
2064,,,,,0.08611064300287934,3495419.0263378415,1.0,0.9999999944208072,6,,500000.0,True,
2064,,,,,0.08883628521107956,1045484.030450418,1.0,0.9999999979044427,1,,500000.0,True,
2064,,,,,0.08564091071894496,3917573.950884629,1.0,0.9999999944208072,5,,500000.0,True,
2064,,,,,0.08670459359832881,2960600.54662136,1.0,0.9999999880110932,4,,500000.0,True,
2064,,,,,0.08373442619103799,5628010.234100079,1.0,0.9999999869753621,8,,500000.0,True,
2064,,,,,0.07536349735798224,13154027.805201953,1.0,0.999999982874042,26,,1500000.0,True,
2408,,,,,0.08661244020988391,3044446.7168650455,1.0,0.9999999836594731,4,,500000.0,True,
2408,,,,,0.08923205977067432,689918.9599232825,1.0,0.9999999819128563,1,,500000.0,True,
2408,,,,,0.08725820914746557,2464085.207887878,1.0,0.9999999836594731,6,,500000.0,True,
2408,,,,,0.08759346093061232,2162040.0699290372,1.0,0.9999999879147656,2,,500000.0,True,
2408,,,,,0.0880089848059245,1788415.4372195494,1.0,0.9999999517468117,2,,500000.0,True,
2408,,,,,0.07630387634028951,12308896.159158276,1.0,0.999999982874042,27,,1500000.0,True,
2408,,,,,0.0733070044309438,14997025.921444783,1.0,0.9999999970462644,31,,1500000.0,True,
2408,,,,,0.07555668253007242,12980409.785596304,1.0,0.9999999926886574,26,,500000.0,True,
2752,,,,,0.08802875519584535,1771584.8057855843,1.0,0.9999999852475887,2,,500000.0,True,
2752,,,,,0.08728800016274789,2436466.94254172,1.0,0.9999999995793939,3,,500000.0,True,
2752,,,,,0.08703325364412838,2666255.8701870497,1.0,0.9999999852475887,3,,500000.0,True,
2752,,,,,0.08736455975375115,2367685.598144288,1.0,0.9999999979044427,3,,500000.0,True,
2752,,,,,0.08530094533441512,4220894.689315574,1.0,0.9999999854988063,8,,500000.0,True,
2752,,,,,0.08318891824962993,6121213.5912736785,1.0,0.9999999926886574,16,,500000.0,True,
2752,,,,,0.08214612006341289,7055943.945302176,1.0,0.9999999986820659,15,,500000.0,True,
2752,,,,,0.08629700710209165,3327930.9182682578,1.0,0.9999999885824093,6,,500000.0,True,
3096,,,,,0.08694736263758056,2743446.9779660255,1.0,0.9999999667671695,2,,500000.0,True,
3096,,,,,0.08759086429078167,2164372.735878843,1.0,0.9999999789375773,2,,500000.0,True,
3096,,,,,0.08596195969694531,3629042.2803961704,1.0,0.9999999667671695,4,,500000.0,True,
3096,,,,,0.08729821040683071,2418375.871366893,1.0,0.9995036649211172,3,,500000.0,True,
3096,,,,,0.08613103593180445,3475271.5298489807,1.0,1.0,5,,500000.0,True,
3096,,,,,0.08125722156731124,7857256.142302632,1.0,0.9999999885824093,16,,500000.0,True,
3096,,,,,0.08344224917973411,5891498.550336287,1.0,0.9999999993662835,12,,500000.0,True,
3096,,,,,0.08472380668226892,4741788.180461181,1.0,1.0,7,,500000.0,True,
3440,,,,,0.08816206832243534,1651774.4488408023,1.0,0.9999999852819393,2,,500000.0,True,
3440,,,,,0.08569842389336187,3864545.9440140943,1.0,0.999999999057229,5,,500000.0,True,
3440,,,,,0.08824713584699256,1575323.083586453,1.0,0.9999999852819393,2,,500000.0,True,
3440,,,,,0.08933862259923334,594182.984777526,1.0,0.9999999995793939,1,,500000.0,True,
3440,,,,,0.08576508008339022,3803988.6056406465,1.0,0.999999980054286,6,,500000.0,True,
3440,,,,,0.0821793564941076,7028520.887439409,1.0,1.0,10,,500000.0,True,
3440,,,,,0.08423698192343904,5177508.604270665,1.0,0.9999999880110932,8,,500000.0,True,
3440,,,,,0.08630425481819665,3321417.2043513507,1.0,0.9999999835286204,4,,500000.0,True,
3784,,,,,0.08794347165297195,1848229.9643064619,1.0,0.9999999660316246,2,,500000.0,True,
3784,,,,,0.08809498740712672,1711467.7362080556,1.0,1.0,2,,500000.0,True,
3784,,,,,0.08859915204617742,1258960.8925661603,1.0,0.9999999660316246,1,,500000.0,True,
3784,,,,,0.08910585949958477,678106.8814205315,1.0,0.9930325747710018,1,,500000.0,True,
3784,,,,,0.08924658782015035,676747.4269522667,1.0,0.9999999939465039,0,,500000.0,True,
3784,,,,,0.08486076044038032,4618705.640749111,1.0,0.9999999835286204,8,,500000.0,True,
3784,,,,,0.08716620988861644,2545883.397985117,1.0,0.9999999879147656,4,,500000.0,True,
3784,,,,,0.08645153935900272,3189050.838938624,1.0,1.0,6,,500000.0,True,
4128,,,,,0.0880278858221446,1772366.3891633083,1.0,1.0,2,,500000.0,True,
4128,,,,,0.08834204758879982,1489508.081738344,1.0,0.9999999881084697,1,,500000.0,True,
4128,,,,,0.08868657203995603,1180395.9411218024,1.0,1.0,1,,500000.0,True,
4128,,,,,0.08931130367986478,618726.3559808951,1.0,0.999999999057229,1,,500000.0,True,
4128,,,,,0.08930903564011661,620653.6997647927,1.0,0.9999999725940774,0,,500000.0,True,
4128,,,,,0.08651709460507563,3129050.255231037,1.0,0.9999999979044427,6,,500000.0,True,
4128,,,,,0.08793636486396958,1854617.2510894835,1.0,0.9999999836594731,3,,500000.0,True,
4472,,,,,0.08922136540439135,699526.9543349374,1.0,0.9999999903119043,0,,500000.0,True,
4472,,,,,0.08924447868901848,678996.9898159213,1.0,0.9999999721405478,0,,500000.0,True,
4472,,,,,0.07175197240645785,16394070.302481594,1.0,0.9999999970462644,33,,1500000.0,True,
4472,,,,,0.08815909771937622,1653870.5578508305,1.0,0.9999999819128563,2,,500000.0,True,
4472,,,,,0.08868528604277764,1181551.419474707,1.0,0.9999999852475887,1,,500000.0,True,
4816,,,,,0.07494847662601549,13518002.450687146,1.0,0.9999999784627615,30,,1500000.0,True,
4816,,,,,0.08931713976178009,613483.0011205664,1.0,0.999999987630372,0,,500000.0,True,
