timesteps,total_reward,kl_divergence,clip_fraction,entropy_loss,step_reward,cost_of_intervention,pressure_deficit,demand_satisfaction,pipe_changes,downgraded_pipes
43,,,,,0.7508520069502127,13400305.8804009,1.0,0.9999999829738383,26,
86,,,,,0.7820175144711079,10119538.520572778,1.0,0.9999999824024974,21,
129,,,,,0.8308447892522408,5691083.772501255,1.0,0.9999999993530712,11,
172,,,,,0.835621932927364,5126590.303665701,1.0,0.9999999709641484,8,
215,,,,,0.8719111827009446,2178437.4336864557,1.0,0.9999999907877103,4,
258,,,,,0.8690643250479478,2375393.830226558,1.0,0.9999999820477802,4,
301,,,,,0.869343943502793,2319008.64165364,1.0,0.999999992019732,2,
344,,,,,0.840157855439344,4455738.274843462,1.0,0.9999999725356072,4,
387,,,,,0.873606762433595,1891586.21570562,1.0,1.0,2,
430,,,,,0.8909278740326195,639382.6237631872,1.0,0.9999999707861857,0,
473,,,,,0.8733291796938513,1885583.3103652282,1.0,0.9999999844285783,2,
516,,,,,0.8911710629833545,612772.848467198,1.0,1.0,1,
559,,,,,0.890521953046882,659537.1201538387,1.0,0.9999999836702735,0,
602,,,,,0.8893584632841092,743477.0346686044,1.0,0.9999999884500461,0,
645,,,,,0.890351409332367,671799.0389188378,1.0,0.9999999932225644,0,
688,,,,,0.8890453377294599,765810.2485051409,1.0,0.9999999940489092,1,
731,,,,,0.8832739151683782,1167125.0751293665,1.0,0.9999999994882431,1,
774,,,,,0.8888158273831495,782764.6705433254,1.0,0.9999999920555949,0,
817,,,,,0.8896668178576554,721080.2599286804,1.0,0.9999999841902093,0,
860,,,,,0.8885946341079298,798857.3700114585,1.0,0.9999999833147287,0,
903,,,,,0.8892277165379827,752862.9618449444,1.0,0.9999999593381489,0,
946,,,,,0.8799653339774819,1404303.934106864,1.0,0.9999999706595335,1,
989,,,,,0.8902354467514009,675264.280167736,1.0,0.999999984939324,0,
1032,,,,,0.8888718815477479,773193.749682093,1.0,0.9999999846070572,0,
1075,,,,,0.8881245687562742,827258.0875845158,1.0,0.9999999914763408,0,
1118,,,,,0.888574976258206,794639.8851130867,1.0,0.9999999907975606,0,
1161,,,,,0.8879535749234158,839668.0543342168,1.0,0.9999999908834767,0,
1204,,,,,0.8885831336426061,794049.9682107357,1.0,0.9999999836322652,0,
1247,,,,,0.8878974131493574,843747.1204551599,1.0,0.9999999824314475,0,
1290,,,,,0.8885820135551085,794130.9630866684,1.0,0.9999999843101479,0,
1333,,,,,0.8878925200371071,844102.824061204,1.0,0.9999999980970111,0,
1376,,,,,0.8884725981427062,802045.2182459942,1.0,0.9999999995931166,0,
1419,,,,,0.887845858823688,847493.0158380927,1.0,0.9999999794926789,0,
1462,,,,,0.8913178372298578,598181.0850408608,1.0,0.9999999844574016,0,
1505,,,,,0.8884336015570337,804867.2536467105,1.0,0.999999996472282,0,
1548,,,,,0.8878612756778234,846372.5404263765,1.0,0.999999969451328,0,
1591,,,,,0.8883901050115139,808015.6326610376,1.0,0.9999999790526168,0,
1634,,,,,0.8878612706989308,846372.9970199685,1.0,0.9999999759744699,0,
