timesteps,total_reward,kl_divergence,entropy_loss,clip_fraction,step_reward,pipe_changes,cumulative_pipe_changes,cumulative_budget,pressure_deficit,demand_satisfaction,cost_of_intervention,simulation_success,weighted_cost,weighted_pd,weighted_demand,action_taken
1700,0.09249999,,,,0.09249998692364692,0.0,0,-843372.8791656677,0.0,0.7499999981123078,0.32549305813116214,True,0.39999986980277674,0.3,0.22499999943369234,0
2175,0.0,0.0015337634831666946,-0.09581622746482026,0.012939453125,0.0,,0,,,,,False,,,,0
3875,0.07739541,0.0015337634831666946,-0.09581622746482026,0.012939453125,0.0773954065229355,0.0,0,-987946.1353659483,450.11691621780386,0.25117782221425283,0.3249913870708829,True,0.3999998700034452,0.2986008485616339,0.07535334666427584,0
5575,0.07746556,0.0009757924708537757,-0.09120797961659263,0.010302734375,0.07746555467886831,0.0,0,-789741.3096804968,529.2236395263672,0.2543941380473397,0.32765928658638604,True,0.39999986893628536,0.29833743643819577,0.0763182414142019,0
7328,0.091314666,0.00035311264218762517,-0.07402160656056367,0.00400390625,0.09131466662499531,0.0,0,-791734.127105578,35.98448432922363,0.7108777996321244,0.3234651388049235,True,0.3999998706139445,0.29988345574637115,0.2132633398896373,0
9081,0.081307836,0.00022120788344182074,-0.06990278783487155,0.002490234375,0.08130783871049158,0.0,0,-773750.6672721177,284.3262931346892,0.38005467118357406,0.32604175451112666,True,0.39999986958329825,0.29906211616654527,0.11401640135507221,0
10834,0.07736395,0.00038501457,-0.07960837221180554,0.001611328125,0.07736395257470505,0,0,-799609.867702282,649.2275495529175,0.25247443976209893,0.3234651388049235,True,0.3999998706139445,0.29789732320447626,0.07574233192862968,0
12534,0.09249999,0.0004442409,-0.07149619476986117,0.00478515625,0.09249998694371375,0,0,-998892.4848397443,0.0,0.7499999981123078,0.3249913870708829,True,0.3999998700034452,0.3,0.22499999943369234,0
14234,0.09102784,0.0004442409,-0.07149619476986117,0.00478515625,0.09102783794419289,0,0,-939149.4735250596,12.660646042823792,0.7010621618649518,0.3250545491319024,True,0.3999998699781804,0.29995986090426296,0.21031864855948554,0
15987,0.07716684,0.0010446474,-0.08331363614124712,0.006005859375,0.0771668374707139,0,0,-966974.2468387472,541.9240417480469,0.24455071120607147,0.32607572680765823,True,0.39999986956970934,0.2983032917756081,0.07336521336182143,0
17687,0.09049513,0.0010128305,-0.08251507286040578,0.012109375,0.09049513427946411,0,0,-776733.5218753726,143.6152731990814,0.6846892940767184,0.3250545491319024,True,0.3999998699781804,0.2995446845934452,0.20540678822301553,0
19387,0.09153294,0.00069575,-0.06453167464933358,0.00380859375,0.09153294162115627,0,0,-986518.7016908906,42.002640075683594,0.718204998125123,0.32834266955323393,True,0.39999986866293225,0.29986804811109363,0.21546149943753687,0
21087,0.09249999,0.0006248093,-0.06420636252732947,0.004345703125,0.09249998683554134,0,0,-983268.421730155,0.0,0.7499999988221241,0.3282280598523822,True,0.3999998687087761,0.3,0.22499999964663722,0
22787,0.08946993,0.0006186549,-0.0677667477662908,0.010107421875,0.08946992841669038,0,0,-864409.7331341008,87.58842161178589,0.649905585912335,0.32549305813116214,True,0.39999986980277674,0.29972773859042645,0.1949716757737005,0
24487,0.078861296,0.0006186549,-0.0677667477662908,0.010107421875,0.0788612932438885,0,0,-941288.4844330938,524.9533540248871,0.3008161233016437,0.32549305813116214,True,0.39999986980277674,0.2983682256456151,0.09024483699049311,0
26240,0.09249999,0.00051152695,-0.08734459403494839,0.0060546875,0.09249998801561661,0,0,-791597.4470044249,0.0,0.7500000318074052,0.3234651388049235,True,0.3999998706139445,0.3,0.22500000954222155,0
27993,0.09128546,0.001085618,-0.06164834387600422,0.013427734375,0.09128545750372188,0,0,-920207.4246989414,95.27213539123534,0.7105632395555295,0.3261176221513479,True,0.3999998695529512,0.29968573361760875,0.21316897186665884,0
29693,0.07498546,0.0010016379,-0.07596785340283532,0.010693359375,0.0749854565385663,0,0,-768264.292172034,1123.4770590591434,0.17782310560308442,0.32549305813116214,True,0.39999986980277674,0.29650776390196076,0.05334693168092532,0
31393,0.08648664,0.000838194,-0.069402752420865,0.007373046875,0.08648663898975863,0,0,-796105.9127751898,173.8732467937469,0.551392548960271,0.3250545491319024,True,0.3999998699781804,0.29944875523132447,0.1654177646880813,0
33146,0.07747114,0.00046561353,-0.06948171253607142,0.004638671875,0.07747113741714491,0,0,-972655.157814123,1245.401506118774,0.2620357604578624,0.32607572680765823,True,0.39999986956970934,0.296100776464381,0.07861072813735873,0
34846,0.09249999,0.0010761508,-0.08175322510651313,0.0056640625,0.09249998692364692,0,0,-977478.0844330939,0.0,0.7499999981123078,0.32549305813116214,True,0.39999986980277674,0.3,0.22499999943369234,0
36599,0.09249999,0.0010761508,-0.08175322510651313,0.0056640625,0.09249998801561661,0,0,-917116.9378981533,0.0,0.7500000318074052,0.3234651388049235,True,0.3999998706139445,0.3,0.22500000954222155,0
38352,0.0922632,0.0019869674,-0.08476931067707483,0.0177734375,0.0922631988104013,0,0,-985876.2506461153,34.98363525390625,0.7424847341917403,0.3234651388049235,True,0.3999998706139445,0.2998866972325464,0.2227454202575221,0
38939,0.0,0.0014060547,-0.07893574961926789,0.015087890625,0.0,1,1,-1000000.0610899029,2132.699140548705,0.14992542653124477,258096.3244822616,True,0.29676147020709537,0.2932385271106092,0.04497762795937343,6
40692,0.08094551,0.0014060547,-0.07893574961926789,0.015087890625,0.08094550440682749,1,2,-997229.6412381632,0.0,0.7500000318074052,288862.41368486674,True,0.2844550345260533,0.3,0.22500000954222155,2
42445,0.091205776,0.0011608074,-0.11730881636030972,0.00712890625,0.09120577380351014,0.0,2,-982292.0017902245,312.24157775878905,0.7101182153611134,0.32607572680765823,True,0.39999986956970934,0.299022403857058,0.21303546460833403,0
44198,0.09249999,0.00077615085,-0.07693438962451182,0.01181640625,0.09249998801561661,0.0,2,-777690.8833628579,0.0,0.7500000318074052,0.3234651388049235,True,0.3999998706139445,0.3,0.22500000954222155,0
45951,0.07724709,0.00067133026,-0.08786879018589389,0.008837890625,0.07724709021584122,0.0,2,-962088.0604532851,1961.0022389221183,0.2620357604578624,0.32607572680765823,True,0.39999986956970934,0.2938603044513442,0.07861072813735873,0
47453,0.0,0.0038861395,-0.07674283207888948,0.02490234375,0.0,,2,,,,,False,,,,0
49206,0.09128178,0.0018801494,-0.07143988189345692,0.013720703125,0.0912817817576815,0.0,2,-996716.2508680362,137.5205923461914,0.7108777996321244,0.3234651388049235,True,0.3999998706139445,0.29955460707323317,0.2132633398896373,0
50906,0.07501083,0.0018801494,-0.07143988189345692,0.013720703125,0.07501082512208869,0.0,2,-947231.4111541876,954.165040187836,0.1771114992379825,0.3250545491319024,True,0.3999998699781804,0.29697493147131165,0.053133449771394746,0
