timesteps,total_reward,kl_divergence,entropy_loss,clip_fraction,step_reward,pipe_changes,cumulative_budget,pressure_deficit,demand_satisfaction,cost_of_intervention,simulation_success,weighted_cost,weighted_pd,weighted_demand
34,0,0.0,0.0,0.0,-723.39247,24,-7133924.7,664604.8,-1.9373161963473218e-07,7283924.7,True,0.0,0.0,-5.8119485890419654e-08
68,0,0.0,0.0,0.0,-546.0698299428966,22,-5360698.300000001,952156.25,1.903452839089724e-07,5510698.300000001,True,0.0,0.0,5.7103585172691724e-08
102,0,0.0,0.0,0.0,-559.5785602858289,26,-5496439.800000001,418225.4,1.3057046109275367e-07,5646439.800000001,True,0.0,0.06541967500000001,3.91711383278261e-08
136,0,0.0,0.0,0.0,-504.21789996303653,19,-4942179.0,919691.1,1.232116759332875e-07,5092179.0,True,0.0,0.0,3.6963502779986246e-08
170,0,0.0,0.0,0.0,-687.8793412665437,27,-6780913.0,235051.66,1.9485445744275966e-07,6930913.0,True,0.0,0.21195867499999999,5.845633723282789e-08
204,0,0.0,0.0,0.0,-588.7861299415438,23,-5787861.300000001,797273.4,1.9485445744275966e-07,5937861.300000001,True,0.0,0.0,5.845633723282789e-08
238,0,0.0,0.0,0.0,-404.28273268803656,21,-3943827.5,374978.4,1.232116759332875e-07,4093827.5,True,0.0,0.100017275,3.6963502779986246e-08
272,0,0.0,0.0,0.0,-579.1714680178965,24,-5692485.2,403685.1,1.903452839089724e-07,5842485.2,True,0.0,0.07705192500000001,5.7103585172691724e-08
306,0,0.0,0.0,0.0,-533.3118399428965,23,-5233118.4,1021361.4,1.903452839089724e-07,5383118.4,True,0.0,0.0,5.7103585172691724e-08
340,0,0.0,0.0,0.0,-617.5697200000001,24,-6075697.2,1169210.6,-1.9373161963473218e-07,6225697.2,True,0.0,0.0,-5.8119485890419654e-08
374,0,0.0,0.0,0.0,-743.601113775,26,-7338849.9,145154.72,0.0,7488849.9,True,0.0,0.28387622500000004,0.0
408,0,0.0,0.0,0.0,-699.0316299415438,23,-6890316.300000001,763822.4,1.9485445744275966e-07,7040316.300000001,True,0.0,0.0,5.845633723282789e-08
