timesteps,total_reward,kl_divergence,entropy_loss,clip_fraction,step_reward,pipe_changes,cumulative_budget,pressure_deficit,demand_satisfaction,cost_of_intervention,simulation_success,weighted_cost,weighted_pd,weighted_demand
2150,0,0.00058843405,-0.08794776260619983,0.0052734375,0.0,0,-29047475.875610266,0,1.0,4790.954144597766,True,0.39808361834216094,0.3,0.3
4354,0,0.0013978272,-0.08632669024227653,0.020947265625,0.0,1,-32209456.93718746,0,1.0,679083.7349598092,True,0.12836650601607633,0.3,0.3
6558,0,0.0010068405,-0.1026391796360258,0.008740234375,0.0,0,-34493766.11031608,0,1.0,4862.244284011916,True,0.39805510228639523,0.3,0.3
8708,0,0.0005903394,-0.10320244130562059,0.009423828125,0.0,0,-28141488.30078065,0,1.0,4422.856902403686,True,0.3982308572390385,0.3,0.3
10912,0,0.0014330773,-0.10131669333204626,0.017822265625,0.0,1.0,-32307439.92376553,11.521191825866701,0.7222750952962286,373634.22261018964,True,0.25054631095592417,0.29973461089838255,0.21171344901968428
13062,0,0.001729529,-0.10857465406588744,0.012548828125,0.0,0.0,-28304451.605598405,0.0,1.0,4790.954144597766,True,0.39808361834216094,0.3,0.3
15266,0,0.0009370537,-0.0973229518684093,0.01357421875,0.0,1.0,-32277174.463650506,11.552825679779055,0.7222750952962286,426572.15816384915,True,0.22937113673446038,0.29973388221681924,0.21171344901968428
16993,0,0.0021045925,-0.10172083702636883,0.02841796875,0.0,,,,,,False,,,
19143,0,0.0021506362,-0.08554434408433735,0.018896484375,0.0,0.0,-29842640.441111658,0.0,1.0,4422.856902403686,True,0.3982308572390385,0.3,0.3
