timesteps,total_reward,kl_divergence,clip_fraction,entropy_loss,step_reward,cost_of_intervention,pressure_deficit,demand_satisfaction,pipe_changes,downgraded_pipes
43,,,,,0.7838642049934377,10431843.824363815,1.0,0.9999999949976989,25,
86,,,,,0.7126017997084266,16787740.92963538,1.0,0.9999999821738761,35,
129,,,,,0.7170826568623061,16436825.115369707,1.0,0.9999999860545088,34,
172,,,,,0.425857202027665,13516907.57122551,0.6662047985619579,0.05102039340634929,33,
215,,,,,0.7234433711052449,15862441.501815796,1.0,0.9999999875552499,32,
258,,,,,0.7706634326776297,11590547.688918732,1.0,0.9999999935844687,25,
301,,,,,0.7588970688313564,12683852.035626205,1.0,0.9999999809535979,26,
344,,,,,0.731740820925488,15079775.378323296,1.0,0.9999999838730698,33,
387,,,,,0.7373520658094608,14618072.235650668,1.0,0.9999999982879882,32,
430,,,,,0.7287784514338151,15357904.859644542,1.0,0.9999999909152,34,
473,,,,,0.7265533589619354,10334404.18513297,0.986935845550581,0.7331988725150869,27,
516,,,,,0.7561578828915383,12893993.629852116,1.0,0.9999999946158719,29,
559,,,,,0.7030260184767465,17675143.84708004,1.0,0.9999999965566868,34,
602,,,,,0.7361041543136299,14752232.150893249,1.0,0.9999999972036954,33,
645,,,,,0.7533178412728826,13176473.917331599,1.0,0.9999999626560789,33,
688,,,,,0.7735274092300881,11387003.456143312,1.0,0.9999999808439562,27,
731,,,,,0.7359425522328797,14739414.603741094,1.0,0.9999999863713607,33,
774,,,,,0.7654694220103522,12130569.528778434,1.0,0.9999999867687739,28,
817,,,,,0.7761508335289596,11140608.157287894,1.0,0.9999999826708934,25,
860,,,,,0.7671000635412955,11988301.503113635,1.0,0.999999981361265,27,
903,,,,,0.40385373955892057,10875021.874145823,0.5310785790731392,0.060871668823033694,27,
946,,,,,0.7632344599023937,12346652.636719875,1.0,0.9999999653561674,28,
989,,,,,0.7528231457844575,13227594.657131985,1.0,0.9999999967370836,32,
1032,,,,,0.6274116894052195,15068461.260955129,0.9766967881580767,0.5197854073244466,35,
1075,,,,,0.7665881753831809,12053344.047719147,1.0,1.0,26,
1118,,,,,0.7501892851182788,13498586.379686348,1.0,0.9999999833941011,29,
1161,,,,,0.5507238334398461,12376955.305912834,0.9357466557262701,0.06690697019632168,27,
1204,,,,,0.21085321949069175,12492690.150670327,0.09200758595463054,0.06300167754471225,29,
1247,,,,,0.7032710942286468,17776870.024175696,1.0,0.9999999988685186,38,
1290,,,,,0.7166450742228097,16535837.753850298,1.0,0.9999999946107518,32,
1333,,,,,0.7605502569078485,12602646.230525857,1.0,0.9999999649224937,31,
1376,,,,,0.7683681079973621,11872767.102355829,1.0,0.9999999726721562,26,
1419,,,,,0.7242056770578866,15893181.57407203,1.0,0.9999999980501749,32,
1462,,,,,0.742478909362732,14115120.989338994,1.0,1.0,31,
1505,,,,,0.6977723027817783,13012979.229250092,0.9890143083220794,0.7324875251593739,29,
1548,,,,,0.6803834999004085,14937295.365238097,0.99823279058711,0.7316360361740863,32,
1591,,,,,0.754532008652543,13121837.031537656,1.0,0.9999999842126185,28,
1634,,,,,0.778166872619317,11015174.555484084,1.0,0.9999999860235937,23,
1677,,,,,0.5538620367175813,12833969.76425708,0.9584351481702892,0.0637818217694364,30,
1720,,,,,0.7545058308468386,13156213.749089522,1.0,0.9999999767969351,31,
1763,,,,,0.7609125753388051,12550207.705016531,1.0,0.999999972003651,27,
1806,,,,,0.7507730235402222,13490535.186075859,1.0,0.9999999857987084,33,
1849,,,,,0.7143870406984553,16744166.132869937,1.0,0.9999999876004222,33,
1892,,,,,0.7230207234553228,15998163.348307718,1.0,0.9999999879519691,31,
1935,,,,,0.7602092597083275,12563939.93343805,1.0,0.999999988968205,27,
1978,,,,,0.7587939940677698,12737903.657568,1.0,0.999999984134423,29,
2021,,,,,0.7906243913719126,9794907.184852403,1.0,0.9999999870801476,28,
2064,,0.012639423832297325,0.12119140625,-1.9367317732423543,0.7586200457076653,12701129.885992138,1.0,0.9999999967033437,28,
2107,,0.012639423832297325,0.12119140625,-1.9367317732423543,0.7762006393396714,11090826.610061858,1.0,0.9999999924557477,28,
2150,,0.012639423832297325,0.12119140625,-1.9367317732423543,0.6912431369028418,13866546.067208035,0.9971175321529859,0.7337410715930781,32,
2193,,0.012639423832297325,0.12119140625,-1.9367317732423543,0.7527766541258349,13217907.036022417,1.0,0.999999955839177,32,
2236,,0.012639423832297325,0.12119140625,-1.9367317732423543,0.7411199686663915,14237025.000381965,1.0,0.999999997704763,31,
2279,,0.012639423832297325,0.12119140625,-1.9367317732423543,0.7574372622773424,12814139.294188632,1.0,0.9999999996691021,27,
2322,,0.012639423832297325,0.12119140625,-1.9367317732423543,0.7390948927701217,14415983.844906388,1.0,0.9999999935821097,30,
2365,,0.012639423832297325,0.12119140625,-1.9367317732423543,0.7663125468948582,12015907.19419131,1.0,0.9999999969311313,28,
2408,,0.012639423832297325,0.12119140625,-1.9367317732423543,0.6926482412205277,13211982.385522284,0.982880212294412,0.7346837660971182,26,
2451,,0.012639423832297325,0.12119140625,-1.9367317732423543,0.733256069972107,14987062.953897279,1.0,0.9999999686979988,32,
2494,,0.012639423832297325,0.12119140625,-1.9367317732423543,0.7255033828875486,15645991.300246999,1.0,0.9999999893763478,34,
2537,,0.012639423832297325,0.12119140625,-1.9367317732423543,0.544153006830002,10622992.44680953,0.8759314877257126,0.059198702029618196,29,
2580,,0.012639423832297325,0.12119140625,-1.9367317732423543,0.7462107718154537,13806229.747012552,1.0,0.9999999792961771,28,
2623,,0.012639423832297325,0.12119140625,-1.9367317732423543,0.7330718400316139,15033067.103127725,1.0,0.9999999983231752,31,
2666,,0.012639423832297325,0.12119140625,-1.9367317732423543,0.7303028486471629,15199013.693932086,1.0,0.999999998938954,32,
2709,,0.012639423832297325,0.12119140625,-1.9367317732423543,0.7565535844873792,12892712.661284573,1.0,0.9999999925572404,29,
2752,,0.012639423832297325,0.12119140625,-1.9367317732423543,0.7766217052222667,11115897.033794416,1.0,0.999999999105298,29,
2795,,0.012639423832297325,0.12119140625,-1.9367317732423543,0.675109279110795,15087714.369079037,0.9904573297953325,0.7332811901794951,35,
2838,,0.012639423832297325,0.12119140625,-1.9367317732423543,0.5471630848679748,13035404.185248615,0.9469716214713069,0.06420128915527865,30,
2881,,0.012639423832297325,0.12119140625,-1.9367317732423543,0.7351619579749925,14838392.98675528,1.0,0.9999999967721257,31,
2924,,0.012639423832297325,0.12119140625,-1.9367317732423543,0.7260067103605989,15712519.254059708,1.0,0.9999999988548927,30,
2967,,0.012639423832297325,0.12119140625,-1.9367317732423543,0.7530875380437703,13242466.699498435,1.0,0.9999999977878967,28,
3010,,0.012639423832297325,0.12119140625,-1.9367317732423543,0.7366883556488909,14762429.626180178,1.0,0.9999999866009319,33,
3053,,0.012639423832297325,0.12119140625,-1.9367317732423543,0.7398989799651694,14446342.838145722,1.0,0.9999999741797241,32,
3096,,0.012639423832297325,0.12119140625,-1.9367317732423543,0.7504034687853754,13529681.137833232,1.0,0.999999968560265,33,
3139,,0.012639423832297325,0.12119140625,-1.9367317732423543,0.7583253665884662,12729474.510846023,1.0,1.0,31,
3182,,0.012639423832297325,0.12119140625,-1.9367317732423543,0.7420373667420401,14262608.917480333,1.0,1.0,30,
3225,,0.012639423832297325,0.12119140625,-1.9367317732423543,0.7147757783315639,12668312.685607603,0.999799237671398,0.7741997288948286,28,
3268,,0.012639423832297325,0.12119140625,-1.9367317732423543,0.745444166409445,13966144.73723291,1.0,0.9999999913362949,31,
3311,,0.012639423832297325,0.12119140625,-1.9367317732423543,0.7292365717988529,15457313.601902466,1.0,0.9999999814889958,32,
3354,,0.012639423832297325,0.12119140625,-1.9367317732423543,0.6755452190840483,11065966.716358745,0.9827906177348656,0.5243510305136463,25,
3397,,0.012639423832297325,0.12119140625,-1.9367317732423543,0.5231079198526338,12404991.071363484,0.8648812403652353,0.07086836437516648,28,
3440,,0.012639423832297325,0.12119140625,-1.9367317732423543,0.5588413048488682,14234817.643414449,0.9765036642599699,0.12859113910876285,30,
3483,,0.012639423832297325,0.12119140625,-1.9367317732423543,0.6961083980284121,13485478.82589162,0.9971391863011517,0.7309465057022552,31,
3526,,0.012639423832297325,0.12119140625,-1.9367317732423543,0.7441508582594567,14090127.636596687,1.0,0.9999999925883531,32,
3569,,0.012639423832297325,0.12119140625,-1.9367317732423543,0.5550062138722061,12943293.279340114,0.9590739702860249,0.07155645474038709,31,
