timesteps,total_reward,kl_divergence,entropy_loss,clip_fraction,step_reward,pipe_changes,cumulative_pipe_changes,cumulative_budget,pressure_deficit,demand_satisfaction,cost_of_intervention,simulation_success,weighted_cost,weighted_pd,weighted_demand,action_taken
1700,0.9249999,,,,0.924999869236469,0,0,12552578.675722744,0,0.7499999981123078,0.32549305813116214,True,0.39999986980277674,0.3,0.22499999943369234,0
3400,0.9249999,0.0014909630408510566,-0.11952759058913216,0.02265625,0.9249998683554133,0,0,11643153.851948317,0,0.7499999988221241,0.3282280598523822,True,0.3999998687087761,0.3,0.22499999964663722,0
5153,0.7442024,0.0001589891326148063,-0.09368472091155126,0.0,0.7442023692356301,1,1,3995576.1088557015,0,0.7500000318074052,451994.10076647875,True,0.2192023596934085,0.3,0.22500000954222155,5
6853,0.9249999,0.00029926671413704753,-0.08843366001965478,0.0,0.924999869236469,0,1,13495556.486106558,0,0.7499999981123078,0.32549305813116214,True,0.39999986980277674,0.3,0.22499999943369234,0
8553,0.9249999,0.0006990388501435518,-0.08260982234787662,0.00390625,0.9249998683554133,0,1,8373720.046566179,0,0.7499999988221241,0.3282280598523822,True,0.3999998687087761,0.3,0.22499999964663722,0
10253,0.9249999,0.0005912285,-0.10111053645377979,0.00166015625,0.9249998683554133,0,1,9573568.213634757,0,0.7499999988221241,0.3282280598523822,True,0.3999998687087761,0.3,0.22499999964663722,0
12006,0.9249999,0.0005912285,-0.10111053645377979,0.00166015625,0.9249998780673503,0,1,6954253.718144699,0,0.7500000287084057,0.32636292868869865,True,0.39999986945482857,0.3,0.22500000861252167,0
13706,0.9249999,0.0014487269,-0.16991688347188755,0.014892578125,0.9249998683554133,0,1,11851610.847975358,0,0.7499999988221241,0.3282280598523822,True,0.3999998687087761,0.3,0.22499999964663722,0
15459,0.7822433,0.00093721994,-0.11917003691196441,0.011669921875,0.7822432837819886,1,2,9190207.526050162,0,0.7500000287084057,356891.81207633263,True,0.25724327516946693,0.3,0.22500000861252167,4
17212,0.8240693,0.0010625345,-0.1099351050099358,0.012353515625,0.8240693421390193,1,3,6313050.799386748,0,0.750000018821487,252326.65876856682,True,0.2990693364925733,0.3,0.2250000056464461,3
18912,0.9249999,0.0022213054,-0.12590772348921747,0.02802734375,0.9249998749279361,0,3,11079298.551578254,0,0.7500000164991857,0.3250545491319024,True,0.3999998699781804,0.3,0.2250000049497557,0
20665,0.9249999,0.002540012,-0.1738394974498078,0.01640625,0.9249998752161555,0,3,7454963.180460105,0,0.750000018821487,0.32607572680765823,True,0.39999986956970934,0.3,0.2250000056464461,0
22365,0.9249999,0.002540012,-0.1738394974498078,0.01640625,0.9249998749279361,0,3,12871316.17982983,0,0.7500000164991857,0.3250545491319024,True,0.3999998699781804,0.3,0.2250000049497557,0
24118,0.9249999,0.0013092505,-0.17846247230190784,0.0142578125,0.9249998781654729,0,3,8161943.820677,0,0.7500000287084057,0.3261176221513479,True,0.3999998695529512,0.3,0.22500000861252167,0
25871,0.9249999,0.00406547,-0.1685707011609338,0.02763671875,0.9249998801561661,0,3,7906527.6927705575,0,0.7500000318074052,0.3234651388049235,True,0.3999998706139445,0.3,0.22500000954222155,0
27624,0.9249999,0.0014534208,-0.18348687475081532,0.013427734375,0.9249998752161555,0,3,9764543.187108485,0,0.750000018821487,0.32607572680765823,True,0.39999986956970934,0.3,0.2250000056464461,0
29324,0.9249999,0.02593664,-0.16985657664481552,0.042529296875,0.9249998749279361,0,3,13324507.501559645,0,0.7500000164991857,0.3250545491319024,True,0.3999998699781804,0.3,0.2250000049497557,0
31077,0.9249999,0.005613705,-0.1314065316109918,0.045654296875,0.9249998752161555,0,3,9413363.625621226,0,0.750000018821487,0.32607572680765823,True,0.39999986956970934,0.3,0.2250000056464461,0
32777,0.9249999,0.01318526,-0.19075101842172443,0.031982421875,0.9249998694053921,0,3,14794987.591515953,0,0.7499999981123078,0.32507075059446305,True,0.3999998699716998,0.3,0.22499999943369234,0
34477,0.9249999,0.01318526,-0.19075101842172443,0.031982421875,0.924999869236469,0,3,8493165.158490665,0,0.7499999981123078,0.32549305813116214,True,0.39999986980277674,0.3,0.22499999943369234,0
36230,0.9249999,0.002109252,-0.1926527957082726,0.0236328125,0.9249998801561661,0,3,7966685.833294172,0,0.7500000318074052,0.3234651388049235,True,0.3999998706139445,0.3,0.22500000954222155,0
37983,0.9249999,0.0006848693,-0.13149200243642553,0.00390625,0.9249998780673503,0,3,8178754.422913125,0,0.7500000287084057,0.32636292868869865,True,0.39999986945482857,0.3,0.22500000861252167,0
39736,0.9249999,0.00052190473,-0.14775513724889605,0.009521484375,0.9249998792128529,0,3,10367951.89457559,0,0.7500000318074052,0.3258234219618743,True,0.3999998696706313,0.3,0.22500000954222155,0
41489,0.8100856,0.00087500585,-0.13332589260535316,0.00615234375,0.8100855695522033,1,4,9790774.200728802,0,0.750000018821487,287286.0902356068,True,0.2850855639057573,0.3,0.2250000056464461,4
43189,0.9249999,0.001282163,-0.12013305815635249,0.01494140625,0.924999869236469,0,4,13356749.329220306,0,0.7499999981123078,0.32549305813116214,True,0.39999986980277674,0.3,0.22499999943369234,0
44889,0.9249999,0.001282163,-0.12013305815635249,0.01494140625,0.9249998694053921,0,4,14326719.502749328,0,0.7499999981123078,0.32507075059446305,True,0.3999998699716998,0.3,0.22499999943369234,0
46589,0.9249999,0.0015281512,-0.18328398161102086,0.0232421875,0.9249998749279361,0,4,11441401.859298244,0,0.7500000164991857,0.3250545491319024,True,0.3999998699781804,0.3,0.2250000049497557,0
48289,0.9249999,0.00445325,-0.12717245995299892,0.037109375,0.924999869236469,0,4,15350426.30323747,0,0.7499999981123078,0.32549305813116214,True,0.39999986980277674,0.3,0.22499999943369234,0
50042,0.9249999,0.0024728938,-0.1306796465534717,0.018310546875,0.9249998792128529,0,4,13134961.94690511,0,0.7500000318074052,0.3258234219618743,True,0.3999998696706313,0.3,0.22500000954222155,0
