timesteps,total_reward,kl_divergence,clip_fraction,entropy_loss,step_reward,cost_of_intervention,pressure_deficit,demand_satisfaction,pipe_changes,downgraded_pipes,budget_before_step,budget_exceeded,simulation_success
272,,,,,0.04881569271315249,3496120.783015914,0.6678175816233443,0.09417351274062419,17,,1500000.0,True,True
272,,,,,0.04910452105531036,4013639.783015914,0.6247056089775083,0.2141895396601138,15,,1500000.0,True,True
272,,,,,0.05523352414413604,5214511.092429017,0.9546694231544495,0.10130253594729073,21,,1500000.0,True,True
272,,,,,0.023735541271844456,3030730.392429016,0.0,0.10101521094446547,14,,1500000.0,True,True
272,,,,,0.05167716994777919,4800647.901460452,0.8394613965006474,0.09405905158250906,20,,1500000.0,True,True
272,,,,,0.05165607169863543,3590533.1700135977,0.7483302592585801,0.09115434727552126,17,,1500000.0,True,True
272,,,,,0.051170025536629395,4235102.770687498,0.7856597401448225,0.09107428238878397,19,,1500000.0,True,True
544,,,,,0.06971134878394748,3623760.9462432982,0.9972083327498933,0.3645563225845152,10,,500000.0,True,True
544,,,,,0.06603243459979458,2881654.3593231565,0.9711203136289444,0.2008445799476793,13,,500000.0,True,True
544,,,,,0.05724512281623572,4973368.083015914,0.8892547280856908,0.23092345938067332,20,,1500000.0,True,True
544,,,,,0.09368522901863688,2059014.7128215395,1.0,0.9999999813820966,8,,500000.0,True,True
544,,,,,0.025791942830626503,4312154.766978186,0.0,0.300561492607699,14,,500000.0,True,True
544,,,,,0.06940033121093614,3700657.0462432983,0.9972382674298537,0.36201024607257776,12,,500000.0,True,True
544,,,,,0.07726820960324927,4073686.5462432983,0.995262189959158,0.6650423064528113,14,,500000.0,True,True
544,,,,,0.06517478381829654,3154308.0593231567,0.9714299866993441,0.19971662856802552,9,,500000.0,True,True
816,,,,,0.09639996736600386,1173838.304409523,1.0,0.999999989133002,6,,500000.0,True,True
816,,,,,0.07328637824925413,2370149.304409523,0.9846320445873773,0.37233607848926503,9,,500000.0,True,True
816,,,,,0.08378713669741808,2738913.418254025,0.9996411863450722,0.7400477967208156,9,,500000.0,True,True
816,,,,,0.09308906224327991,2253402.9850149876,1.0,1.0,9,,500000.0,True,True
816,,,,,0.03402222540639462,1567976.804409523,0.0,0.29436789735297636,6,,500000.0,True,True
816,,,,,0.07802049642423088,789523.0850149876,0.9976060654220734,0.351254466708047,2,,500000.0,True,True
816,,,,,0.09639554849641524,1175278.9850149876,1.0,0.9999999825091612,4,,500000.0,True,True
816,,,,,0.09435322389742239,1841206.2001565984,1.0,1.0,8,,500000.0,True,True
1088,,,,,0.09523015033008263,1318233.1742087016,1.0,0.9757675246806994,6,,500000.0,True,True
1088,,,,,0.09400640554913109,1954290.8729205693,1.0,0.9999999867724637,5,,500000.0,True,True
1088,,,,,0.07644068090801463,1521330.304409523,0.9984087602238364,0.37233607848926503,9,,500000.0,True,True
1088,,,,,0.09366540094392564,2065480.0126696005,1.0,0.9999999908801325,4,,500000.0,True,True
1088,,,,,0.09153807110165588,2759124.072920569,1.0,0.9999999867724637,9,,500000.0,True,True
1088,,,,,0.09424685243691555,1875889.8742087015,1.0,0.999999990491365,7,,500000.0,True,True
1088,,,,,0.9882129380625266,384332.67420870165,1.0,0.999999990491365,2,,500000.0,False,True
1088,,,,,0.09481942965492343,1689193.5279520669,1.0,0.9999999892564292,6,,500000.0,True,True
1360,,,,,0.09560766210942727,1432179.9220226486,1.0,0.9999999866042624,6,,500000.0,True,True
1360,,,,,0.09534560427846478,1517627.4862027662,1.0,1.0,4,,500000.0,True,True
1360,,,,,0.09196101539783325,2621217.472920569,1.0,0.9999999867724637,8,,500000.0,True,True
1360,,,,,0.09575402978659962,1384454.8570799287,1.0,0.9999999909929855,5,,500000.0,True,True
1360,,,,,0.09752751901981714,806185.2320114704,1.0,1.0,3,,500000.0,True,True
1360,,,,,0.9900633495851869,277127.4862027662,1.0,0.9952084794436442,2,,500000.0,False,True
1360,,,,,0.09626103022476543,1219140.4728593265,1.0,0.9999999849206223,5,,615667.3257912984,True,True
1360,,,,,0.0961775445108552,1246362.2025725285,1.0,0.9999999919293222,2,,500000.0,True,True
1632,,,,,0.09670472700768025,1074467.4070518482,1.0,0.9999999919748664,3,,500000.0,True,True
1632,,,,,0.09668082699832038,1057856.521276469,1.0,0.9975051999866803,4,,500000.0,True,True
1632,,,,,0.0981817386791005,592868.0999418877,1.0,0.9999999866042624,2,,500000.0,True,True
1632,,,,,0.09682786781374332,1034315.6510768754,1.0,0.9999999844386579,4,,500000.0,True,True
1632,,,,,0.0936179300307115,2080958.5999418877,1.0,1.0,5,,500000.0,True,True
1632,,,,,0.09659356064590852,1110714.521276469,1.0,0.9999999845953393,4,,722872.5137972338,True,True
1632,,,,,0.09235746621222275,2491949.221276469,1.0,0.9999999845953393,9,,500000.0,True,True
1904,,,,,0.09650709459799106,1138908.0060284436,1.0,0.9999999847500154,2,,500000.0,True,True
1904,,,,,0.09772410564216355,742085.4060284436,1.0,0.9999999847500154,2,,500000.0,True,True
1904,,,,,0.09616079146931698,1251824.8070518484,1.0,0.9999999919748664,2,,500000.0,True,True
1904,,,,,0.09238041639610012,1129229.2070518483,1.0,0.861454583181131,4,,500000.0,True,True
1904,,,,,0.09811664909001105,614091.4060284436,1.0,0.9999999847500154,2,,500000.0,True,True
1904,,,,,0.09673466748963942,1064704.8111751347,1.0,0.9999999892315978,2,,500000.0,True,True
1904,,,,,0.061658294388802305,4968727.122371939,0.9279029387077177,0.32602380073076687,21,,1500000.0,True,True
2176,,,,,0.9960404039164921,129107.72679633796,1.0,0.9999999838818323,1,,500000.0,False,True
2176,,,,,0.09680755552052837,1040938.726796338,1.0,0.9999999838818323,3,,500000.0,True,True
2176,,,,,0.09547964391160704,1411573.3859056705,1.0,0.9936261144052126,6,,500000.0,True,True
2176,,,,,0.9999981720468357,59.49714170644302,1.0,0.9999999891945847,0,,500000.0,False,True
2176,,,,,0.097328328683034,871133.726796338,1.0,0.9999999838818323,3,,500000.0,True,True
2176,,,,,0.04188304019734839,4606336.022371938,0.5869929732182806,0.08434816600818977,17,,1500000.0,True,True
2176,,,,,0.9878280660712914,396881.9597396591,1.0,0.9999999929927309,1,,500000.0,False,True
2176,,,,,0.08050509269688512,3413932.020410976,0.9996865276410962,0.6995927985183171,11,,500000.0,True,True
2448,,,,,0.9902460765232188,318039.5062583155,1.0,0.9999999885905184,1,,870892.273203662,False,True
2448,,,,,0.9560229971052301,258155.71636525687,1.0,0.8798011584220725,1,,500000.0,False,True
2448,,,,,0.9857935940724163,463218.71636525687,1.0,1.0,2,,500000.0,False,True
2448,,,,,0.9651707881094345,59.686587518605805,1.0,0.8839087287702256,0,,999940.5028582935,False,True
2448,,,,,0.09835107883054761,537652.5159439689,1.0,0.9999999885905184,2,,500000.0,True,True
2448,,,,,0.09417382838150919,1899700.515589351,1.0,1.0,9,,500000.0,True,True
2448,,,,,0.999998180894514,59.24586740244342,1.0,0.9999999929996712,0,,603118.0402603409,False,True
2448,,,,,0.09253036344419346,2435573.9155893507,1.0,0.99999998605767,9,,500000.0,True,True
2720,,,,,0.9856513032970787,467858.2257730026,1.0,0.9999999928302321,2,,1052852.7669453465,False,True
2720,,,,,0.98579340503122,396881.86182796094,1.0,0.9932177765589755,1,,741844.2836347432,False,True
2720,,,,,0.9905984924924967,306548.51594396884,1.0,0.9999999885905184,1,,536781.2836347432,False,True
2720,,,,,0.9801104341654927,648525.5014504918,1.0,0.9999999803549998,2,,1499880.8162707747,False,True
2720,,,,,0.9878280710183628,396881.8257730026,1.0,0.9999999928302321,1,,500000.0,False,True
2720,,,,,0.07947610359016868,1868630.615589351,0.9970534161579399,0.5108283537127094,6,,500000.0,True,True
2720,,,,,0.9999981825051198,59.261827960934006,1.0,1.0,0,,1103058.7943929385,False,True
2720,,,,,0.08303745630622916,893467.6155893509,0.9970534161579399,0.529849537806332,3,,500000.0,True,True
2992,,,,,0.9920826581109967,258155.3553527679,1.0,0.9999999915351149,1,,1084994.5411723438,False,True
2992,,,,,0.9999981770974844,59.35535276788247,1.0,0.9999999915351149,0,,844962.4218067823,False,True
2992,,,,,0.09721322399335369,908665.2257730026,1.0,0.9999999928302321,2,,730232.7676907743,True,True
2992,,,,,0.9999981810446306,59.2580079954799,1.0,0.9999999947406791,0,,1351355.3148202829,False,True
2992,,,,,0.9989459737338384,59.41017161906368,1.0,0.9964926525937408,0,,603118.1742269974,False,True
2992,,,,,0.09414914036251695,1907750.2287940027,1.0,0.9999999854047433,7,,500000.0,True,True
2992,,,,,0.9999981618206275,59.74731354143226,1.0,0.999999980682716,0,,1602999.5325649776,False,True
2992,,,,,0.09787252307177455,693691.9722053047,1.0,0.9999999905771657,2,,500000.0,True,True
3264,,,,,0.9905984909377531,306548.56631461845,1.0,0.9999999885574137,1,,1326839.185819576,False,True
3264,,,,,0.9999981697342072,59.56631461845177,1.0,0.9999999885574137,0,,1344903.0664540143,False,True
3264,,,,,0.09802093796312653,645299.3553527679,1.0,0.9999999915351149,1,,500000.0,True,True
3264,,,,,0.9876301730416399,403334.53813830775,1.0,0.9999999909618256,2,,1851296.0568122873,False,True
3264,,,,,0.9802093747789669,645299.5963710382,1.0,1.0,1,,1103058.7640553783,False,True
3264,,,,,0.09559241583644956,1437151.1722053045,1.0,0.9999999905771657,4,,500000.0,True,True
3264,,,,,0.9878780123113347,258155.5963710382,1.0,0.9859845320991054,1,,2102939.7852514363,False,True
3264,,,,,0.9915879340860525,274286.4086014504,1.0,0.9999999840982264,1,,500000.0,False,True
3536,,,,,0.9955456820085634,145238.75153781835,1.0,0.9999999798402348,1,,1520290.6195049575,False,True
3536,,,,,0.9999981614384629,59.75153781834068,1.0,0.9999999798402348,0,,1844843.500139396,False,True
3536,,,,,0.9999981697342072,59.56631461845177,1.0,0.9999999885574137,0,,500000.0,False,True
3536,,,,,0.9999981886653033,58.967506766059195,1.0,0.9999999904450836,0,,1947961.5186739797,False,True
3536,,,,,0.9999981614384629,59.75153781834068,1.0,0.9999999798402348,0,,957759.16768434,False,True
3536,,,,,0.0963683959319956,1184132.5086014506,1.0,0.9999999840982264,5,,500000.0,True,True
3536,,,,,0.9841671178149707,516252.00254788913,1.0,0.9999999905127105,1,,2344784.188880398,False,True
3536,,,,,0.982227644008278,579491.0930191568,1.0,0.9999999855283376,2,,725713.5913985496,False,True
3808,,,,,0.9945562689368516,177499.88167855702,1.0,0.9999999802534917,1,,1875051.867967139,False,True
3808,,,,,0.9915879493169186,274285.881678557,1.0,0.9999999802534917,1,,2344783.7486015777,False,True
3808,,,,,0.9999981614384629,59.75153781834068,1.0,0.9999999798402348,0,,999940.4336853815,False,True
3808,,,,,0.9999981725686037,59.431589279769206,1.0,0.9999999842324097,0,,2447902.5511672134,False,True
3808,,,,,0.9999981772988604,59.431589279769206,1.0,1.0,0,,1457699.4161465217,False,True
