timesteps,total_reward,kl_divergence,clip_fraction,entropy_loss,step_reward,cost_of_intervention,pressure_deficit,demand_satisfaction,pipe_changes,downgraded_pipes,budget_before_step,cumulative_budget,debt_penalty_applied,base_reward,simulation_success
34,,,,,-367.56168673620584,5081211.122371939,0.9152531786191701,0.16386453790646846,22,,1500000.0,-3581211.122371939,358.1211122371939,0.5594255009881098,True
68,,,,,-356.5375664303361,4971676.872665411,0.959565198096706,0.3292353275194223,20,,1500000.0,-3471676.872665411,347.1676872665411,0.630120836205035,True
102,,,,,-503.6375986517536,6442504.692429016,0.9720142364132082,0.4054979696377043,24,,1500000.0,-4942504.692429016,494.25046924290166,0.612870591148055,True
136,,,,,-448.42826955871845,5889861.283015913,0.9493209071974897,0.19588638036996747,20,,1500000.0,-4389861.283015913,438.98612830159135,0.55785874287287,True
170,,,,,-404.1549017009459,5447140.246077075,0.9425705075432766,0.16384161759267318,22,,1500000.0,-3947140.2460770747,394.7140246077075,0.5591229067615847,True
204,,,,,-268.7298247036026,4092657.1700135977,0.8351581839058767,0.09115434727552126,17,,1500000.0,-2592657.1700135977,259.2657170013598,0.5358922977571909,True
238,,,,,-214.78446624821115,3552307.172665411,0.5673433482328667,0.09419672838496715,16,,1500000.0,-2052307.1726654111,205.23071726654112,0.44625101832996555,True
272,,,,,-360.467494361741,5010744.270013598,0.9703821056324221,0.24151265262636018,20,,1500000.0,-3510744.270013598,351.0744270013598,0.6069326396188315,True
306,,,,,-353.39984676121367,4939941.922371939,0.9648463738000507,0.19969829329983696,22,,1500000.0,-3439941.922371939,343.9941922371939,0.5943454759802266,True
340,,,,,-169.29966369566,3198203.6830159137,0.726344808373008,0.09417351274062419,15,,1500000.0,-1698203.6830159137,169.82036830159137,0.5207046059313584,True
374,,,,,-364.01995155124405,2348788.0182540244,0.926834769794229,0.26839799896818484,10,,-1198203.6830159137,-3546991.701269938,354.6991701269938,0.6792185757497512,True
408,,,,,-440.5534965897131,5811918.883015914,0.9689029614721368,0.43025218055457715,19,,1500000.0,-4311918.883015914,431.1918883015914,0.6383917118782565,True
442,,,,,-275.6122591301081,4161732.9223719393,0.9033442453223224,0.0911038671868476,16,,1500000.0,-2661732.9223719393,266.17329223719395,0.5610331070858527,True
476,,,,,-249.16874408414063,3897647.283015914,0.8730284493932314,0.22103123629289867,16,,1500000.0,-2397647.283015914,239.7647283015914,0.5959842174507515,True
510,,,,,-349.7223951513701,4902526.370687498,0.8881537398579133,0.08445163887047122,19,,1500000.0,-3402526.370687498,340.2526370687498,0.5302419173796884,True
544,,,,,-337.90653161337923,4784841.422371939,0.9001146657740412,0.21436852680570276,15,,1500000.0,-3284841.422371939,328.4841422371939,0.5776106238146878,True
578,,,,,-458.5470218255348,5991462.322371939,0.984220041512663,0.2975797520705645,24,,1500000.0,-4491462.322371939,449.14623223719394,0.5992104116591596,True
612,,,,,-355.35887084926117,4958701.783015913,0.7587052221126598,0.1996775505477625,22,,1500000.0,-3458701.7830159133,345.87017830159135,0.5113074523302004,True
646,,,,,-296.61575800687103,4371887.870687498,0.8567909934541478,0.21464545959607217,17,,1500000.0,-2871887.870687498,287.1887870687498,0.5730290618787517,True
680,,,,,-310.63219553349865,4511773.192429016,0.7909105354850418,0.22376863187084803,16,,1500000.0,-3011773.1924290163,301.17731924290166,0.5451237094030206,True
714,,,,,-364.1811595460731,5046850.872665411,0.8283925898204071,0.09117343140753514,21,,1500000.0,-3546850.872665411,354.6850872665411,0.5039277204679634,True
748,,,,,-308.3729343445195,4488391.383015914,0.6890147622609089,0.09417351274062419,18,,1500000.0,-2988391.383015914,298.8391383015914,0.46620395707193313,True
782,,,,,-130.30726555672518,2808418.2726654112,0.725783023208296,0.10126529550443193,16,,1500000.0,-1308418.2726654112,130.84182726654112,0.5345617098159193,True
816,,,,,-621.6302305155556,5314901.100417655,0.9970231018755271,0.5529990048638642,18,,-808418.2726654112,-6123319.373083066,612.3319373083067,0.7017067927510796,True
850,,,,,-213.3163855861718,3539229.9223719393,0.7859970449585245,0.3358403497214995,17,,1500000.0,-2039229.9223719393,203.92299223719394,0.6066066510221433,True
884,,,,,-402.5970864714295,5431778.692429016,0.9528615003373888,0.22074938987621728,19,,1500000.0,-3931778.6924290163,393.17786924290164,0.5807827714721353,True
918,,,,,-326.61180097214543,4671730.183015914,0.8725897901951486,0.1848607111050524,20,,1500000.0,-3171730.1830159137,317.1730183015914,0.5612173294459567,True
952,,,,,-237.6212276442225,3781917.892429016,0.9033131536853082,0.08407858878449362,15,,1500000.0,-2281917.892429016,228.19178924290162,0.5705615986791078,True
986,,,,,-448.2700850197916,5888580.470687498,0.9712807921156299,0.266819975811667,21,,1500000.0,-4388580.470687498,438.85804706874984,0.5879620489582411,True
1020,,,,,-348.32502469712045,4888562.222371939,0.8821873211611715,0.09416471499892241,17,,1500000.0,-3388562.2223719386,338.8562222371939,0.5311975400734601,True
1054,,,,,-362.0568287223645,5026321.072665411,0.9057187439298094,0.22380921728218708,22,,1500000.0,-3526321.072665411,352.63210726654114,0.5752785441766086,True
1088,,,,,-554.4970442121976,6950852.383015914,0.971719187799578,0.3756045748934296,23,,1500000.0,-5450852.383015914,545.0852383015914,0.5881940893938715,True
1122,,,,,-405.6658033324801,5462502.992429016,0.9698268129083893,0.2136470372921341,22,,1500000.0,-3962502.992429016,396.25029924290163,0.5844959104215619,True
1156,,,,,-470.8746496002557,6113662.322371939,0.8770812300237449,0.09416471499892241,23,,1500000.0,-4613662.322371939,461.36623223719397,0.4915826369383089,True
1190,,,,,-391.9819761476499,5326287.983015914,0.9825847491968454,0.3904653943917962,19,,1500000.0,-3826287.9830159144,382.6287983015915,0.6468221539415698,True
1224,,,,,-323.9946084815789,4645929.6706874985,0.9069623006571748,0.26019733229335423,18,,1500000.0,-3145929.6706874985,314.5929670687499,0.5983585871709886,True
1258,,,,,-269.77109397985447,4102690.292429016,0.7410148871013714,0.09118094136857681,15,,1500000.0,-2602690.292429016,260.2690292429016,0.4979352630471043,True
1292,,,,,-379.9868997521928,5205734.27266541,0.9475971813187833,0.22380921728218708,19,,1500000.0,-3705734.2726654103,370.57342726654105,0.5865275143482424,True
1326,,,,,-427.5576035147348,5681101.192429016,0.9515910852469643,0.15370795016363648,20,,1500000.0,-4181101.1924290163,418.11011924290165,0.5525157281668419,True
1360,,,,,-313.7149403457393,4542130.370687498,0.7801583855437547,0.08445163887047122,18,,1500000.0,-3042130.370687498,304.21303706874977,0.49809672301044533,True
1394,,,,,-353.14560820522024,4937043.322371939,0.852138658877517,0.23094077697509321,20,,1500000.0,-3437043.322371939,343.7043322371939,0.5587240319736622,True
1428,,,,,-377.3140102567054,5179826.270687498,0.9689650708901597,0.4663011188014653,18,,1500000.0,-3679826.270687498,367.9826270687498,0.6686168120444503,True
1462,,,,,-355.4823391161588,4960129.622371939,0.8339636391255656,0.16386453790646846,22,,1500000.0,-3460129.622371939,346.0129622371939,0.5306231210350829,True
1496,,,,,-241.65907242040706,3821942.972665411,0.8180203966315213,0.08410486428807037,18,,1500000.0,-2321942.972665411,232.1942972665411,0.5352248461340539,True
1530,,,,,-478.6266606311899,6192124.970687498,0.9711089537004975,0.2909949711346133,22,,1500000.0,-4692124.970687498,469.2124970687499,0.5858364375599671,True
1564,,,,,-335.89935675362847,4764200.172665411,0.853854533917327,0.08410486428807037,21,,1500000.0,-3264200.1726654107,326.4200172665411,0.5206605129126268,True
1598,,,,,-358.8405163675527,4993346.492429016,0.700356751726938,0.22376863187084803,18,,1500000.0,-3493346.492429016,349.3346492429016,0.49413287534890493,True
1632,,,,,-430.2893712967326,5709486.522371938,0.9937972023350002,0.45621901270441256,22,,1500000.0,-4209486.522371938,420.94865223719387,0.6592809404612696,True
1666,,,,,-258.59966055536916,3991755.4830159135,0.880303462548724,0.15396362950479947,18,,1500000.0,-2491755.4830159135,249.17554830159136,0.575887746222191,True
1700,,,,,-269.8337772529407,4103933.6700135977,0.8661397669571564,0.12998986479236477,20,,1500000.0,-2603933.6700135977,260.39336700135976,0.5595897484190848,True
1734,,,,,-224.5350857196194,3650315.4830159135,0.6952728987042051,0.10101520937340903,14,,1500000.0,-2150315.4830159135,215.03154830159136,0.49646258197195453,True
1768,,,,,-336.3480960454474,4768992.072665411,0.8705526445028511,0.16383295172117415,19,,1500000.0,-3268992.072665411,326.8992072665411,0.5511112210937011,True
1802,,,,,-422.0581087618567,5626795.083015914,0.9044167015880743,0.44066814563610107,21,,1500000.0,-4126795.083015914,412.67950830159145,0.6213995397347141,True
1836,,,,,-359.4830081486739,4999566.170013597,0.7414720602596333,0.10117069003274765,19,,1500000.0,-3499566.1700135972,349.95661700135975,0.4736088526858678,True
1870,,,,,-405.2051959499571,5457325.592429017,0.9237746427656198,0.08407858878449362,18,,1500000.0,-3957325.5924290167,395.7325592429017,0.5273632929446022,True
1904,,,,,-297.13895850269324,4377195.27266541,0.7855698345981739,0.335281922978327,21,,1500000.0,-2877195.2726654103,287.71952726654104,0.5805687638477951,True
1938,,,,,-351.5564350852751,4921056.592429017,0.8537201140193166,0.19553158544217114,20,,1500000.0,-3421056.5924290167,342.1056592429017,0.5492241576266221,True
1972,,,,,-304.57010381743845,4451746.77266541,0.9530418915151455,0.19962283862220234,21,,1500000.0,-2951746.7726654103,295.17467726654104,0.6045734491025626,True
2006,,,,,-292.58712709549366,4331300.572665411,0.6955234012092609,0.3251900588814302,19,,1500000.0,-2831300.572665411,283.13005726654114,0.5429301710475145,True
2040,,,,,-318.2013001666699,4586472.483015914,0.6533144714636412,0.0842812896528495,16,,1500000.0,-3086472.4830159144,308.64724830159145,0.44594813492153584,True
2074,,0.013261547312140465,0.06904296875,-1.9381145760416985,-283.5179864782175,4241602.770687498,0.9103982800490751,0.36072183914476535,18,,1500000.0,-2741602.770687498,274.16027706874985,0.6422905905323475,True
2108,,0.013261547312140465,0.06904296875,-1.9381145760416985,-380.99162523709566,5215081.770013597,0.8705904624972498,0.09418794455746034,22,,1500000.0,-3715081.770013597,371.5081770013597,0.5165517642640496,True
2142,,0.013261547312140465,0.06904296875,-1.9381145760416985,-300.4871741375008,4409308.783015913,0.6341210073392334,0.0842812896528495,16,,1500000.0,-2909308.7830159133,290.93087830159135,0.4437041640905472,True
2176,,0.013261547312140465,0.06904296875,-1.9381145760416985,-326.723683430361,4671535.983015914,0.6146220485226994,0.09112298628563435,21,,1500000.0,-3171535.9830159144,317.15359830159144,0.42991487123045724,True
2210,,0.013261547312140465,0.06904296875,-1.9381145760416985,-381.4962816473817,5220403.470687498,0.9129209444172216,0.13000351156775328,20,,1500000.0,-3720403.4706874983,372.04034706874984,0.5440654213681175,True
2244,,0.013261547312140465,0.06904296875,-1.9381145760416985,-295.36787708322925,4359800.4830159135,0.8943806212380314,0.2937641025998385,19,,1500000.0,-2859800.4830159135,285.98004830159135,0.6121712183621292,True
2278,,0.013261547312140465,0.06904296875,-1.9381145760416985,-293.30455894291396,4338601.72237194,0.9084224159575098,0.08434816600818977,17,,1500000.0,-2838601.7223719396,283.860172237194,0.5556132942799991,True
2312,,0.013261547312140465,0.06904296875,-1.9381145760416985,-259.7969732747026,4003993.492429016,0.8629429498904637,0.2666561357906429,15,,1500000.0,-2503993.492429016,250.39934924290162,0.6023759681989854,True
2346,,0.013261547312140465,0.06904296875,-1.9381145760416985,-345.357981638604,4858977.183015914,0.9012601690280773,0.09417351274062419,20,,1500000.0,-3358977.1830159137,335.8977183015914,0.5397366629874409,True
2380,,0.013261547312140465,0.06904296875,-1.9381145760416985,-373.7720745747038,5143140.522371938,0.936019127006701,0.08434816600818977,20,,1500000.0,-3643140.5223719385,364.31405223719383,0.541977662489994,True
2414,,0.013261547312140465,0.06904296875,-1.9381145760416985,-332.68219538767084,4732488.992429016,0.9267943822498083,0.13708768728300239,20,,1500000.0,-3232488.992429016,323.24889924290164,0.5667038552307746,True
2448,,0.013261547312140465,0.06904296875,-1.9381145760416985,-253.4692809306791,3938581.0726654115,0.4609670253675845,0.08410486428807037,16,,1500000.0,-2438581.0726654115,243.85810726654117,0.38882633586205656,True
2482,,0.013261547312140465,0.06904296875,-1.9381145760416985,-216.3170834138666,3568138.892429016,0.694941619848382,0.09420018336320754,18,,1500000.0,-2068138.892429016,206.8138892429016,0.49680582903498766,True
2516,,0.013261547312140465,0.06904296875,-1.9381145760416985,-165.43824725336643,3158877.570013597,0.5453316362953211,0.09418794455746034,16,,1500000.0,-1658877.5700135971,165.88775700135972,0.449509747993291,True
2550,,0.013261547312140465,0.06904296875,-1.9381145760416985,-407.93249736292836,2826470.4462432982,0.8220267332741444,0.2005943320045874,13,,-1158877.5700135971,-3985348.0162568954,398.53480162568957,0.6023042627612011,True
2584,,0.013261547312140465,0.06904296875,-1.9381145760416985,-344.5219052292114,4849809.270013598,0.6935221616742302,0.10117069003274765,21,,1500000.0,-3349809.270013598,334.9809270013598,0.45902177214836354,True
2618,,0.013261547312140465,0.06904296875,-1.9381145760416985,-373.1255518753279,5137016.522371939,0.9371148792163112,0.19600343993325392,22,,1500000.0,-3637016.5223719394,363.70165223719397,0.5761003618660809,True
2652,,0.013261547312140465,0.06904296875,-1.9381145760416985,-88.24931723233819,2387805.392429016,0.6927476973077711,0.09118094136857681,11,,1500000.0,-887805.3924290161,88.78053924290161,0.5312220105634252,True
2686,,0.013261547312140465,0.06904296875,-1.9381145760416985,-454.69010905138515,4065330.7128215395,0.9317654587842684,0.25158162456433825,14,,-387805.39242901606,-4453136.105250556,445.31361052505565,0.6235014736705081,True
2720,,0.013261547312140465,0.06904296875,-1.9381145760416985,-296.4602670813547,4370314.27266541,0.8976764327754166,0.15374108762427738,21,,1500000.0,-2870314.2726654103,287.031427266541,0.5711601851863184,True
2754,,0.013261547312140465,0.06904296875,-1.9381145760416985,-378.19732902227696,5188064.283015913,0.9704698202501889,0.2667451573358617,22,,1500000.0,-3688064.2830159133,368.8064283015913,0.6090992793143365,True
2788,,0.013261547312140465,0.06904296875,-1.9381145760416985,-231.1192513077993,3716721.8223719397,0.8017607127316276,0.1540479889157358,16,,1500000.0,-2216721.8223719397,221.67218223719397,0.5529309293946721,True
2822,,0.013261547312140465,0.06904296875,-1.9381145760416985,-370.94564730864874,5114964.570687499,0.9558614591899244,0.08445163887047122,21,,1500000.0,-3614964.570687499,361.4964570687499,0.5508097601011921,True
2856,,0.013261547312140465,0.06904296875,-1.9381145760416985,-408.26056718037916,5488340.770013598,0.9441559607521941,0.21389597608675928,22,,1500000.0,-3988340.770013598,398.8340770013598,0.5735098209806602,True
2890,,0.013261547312140465,0.06904296875,-1.9381145760416985,-435.62643394780343,5762869.483015914,0.980018618098445,0.48415914184441405,21,,1500000.0,-4262869.483015914,426.28694830159145,0.6605143537880258,True
2924,,0.013261547312140465,0.06904296875,-1.9381145760416985,-332.5878400536608,4731556.092429016,0.9562250532484613,0.10130253594729073,21,,1500000.0,-3231556.092429016,323.1556092429016,0.5677691892408511,True
2958,,0.013261547312140465,0.06904296875,-1.9381145760416985,-439.4167750435509,5799731.783015913,0.91991312286444,0.22103123629289867,21,,1500000.0,-4299731.783015913,429.97317830159136,0.5564032580404394,True
2992,,0.013261547312140465,0.06904296875,-1.9381145760416985,-322.7026179517046,4632426.672665411,0.8869217439474522,0.09117343140753514,20,,1500000.0,-3132426.6726654107,313.2426672665411,0.5400493148364804,True
3026,,0.013261547312140465,0.06904296875,-1.9381145760416985,-387.6329438184333,5281860.322371939,0.9221571080529574,0.1540479889157358,21,,1500000.0,-3781860.322371939,378.18603223719396,0.5530884187606452,True
3060,,0.013261547312140465,0.06904296875,-1.9381145760416985,-188.98261575666663,3394252.1830159137,0.5012785451758865,0.15396362950479947,17,,1500000.0,-1894252.1830159137,189.42521830159137,0.4426025449247478,True
3094,,0.013261547312140465,0.06904296875,-1.9381145760416985,-521.104127377467,3723698.8182540247,0.9773176799608722,0.38082467876112847,14,,-1394252.1830159137,-5117951.001269938,511.7951001269939,0.6909727495268453,True
3128,,0.013261547312140465,0.06904296875,-1.9381145760416985,-262.8223498113016,4032519.9700135975,0.5701716198278942,0.08417160180023393,17,,1500000.0,-2532519.9700135975,253.25199700135977,0.4296471900582176,True
3162,,0.013261547312140465,0.06904296875,-1.9381145760416985,-376.5077043579813,5170972.472665411,0.9256279865936923,0.2595991041832153,22,,1500000.0,-3670972.4726654114,367.09724726654116,0.5895429085598372,True
3196,,0.013261547312140465,0.06904296875,-1.9381145760416985,-444.5410723401669,5850718.383015914,0.9571603254667346,0.09112298628563435,21,,1500000.0,-4350718.383015914,435.0718383015914,0.5307659614245205,True
3230,,0.013261547312140465,0.06904296875,-1.9381145760416985,-395.4093712441405,5360121.970687498,0.9474832748127169,0.2940717888853469,22,,1500000.0,-3860121.9706874983,386.01219706874986,0.6028258246093117,True
3264,,0.013261547312140465,0.06904296875,-1.9381145760416985,-333.05215592019675,4736122.870687498,0.8636592332714659,0.19973037957790532,23,,1500000.0,-3236122.870687498,323.61228706874977,0.5601311485529846,True
3298,,0.013261547312140465,0.06904296875,-1.9381145760416985,-280.4993899850148,4209963.470687498,0.7468743246387756,0.09107428238878397,16,,1500000.0,-2709963.4706874983,270.99634706874986,0.49695708373506137,True
3332,,0.013261547312140465,0.06904296875,-1.9381145760416985,-415.0455760993328,5555384.9830159135,0.8376191605172489,0.09417351274062419,22,,1500000.0,-4055384.9830159135,405.53849830159135,0.4929222022585555,True
3366,,0.013261547312140465,0.06904296875,-1.9381145760416985,-255.875736932451,3964293.6700135977,0.8226574988101156,0.1538252748354468,19,,1500000.0,-2464293.6700135977,246.4293670013598,0.5536300689087957,True
3400,,0.013261547312140465,0.06904296875,-1.9381145760416985,-320.0012036777811,4604847.283015914,0.743533258216077,0.09112298628563435,18,,1500000.0,-3104847.2830159143,310.4847283015914,0.483524623810284,True
3434,,0.013261547312140465,0.06904296875,-1.9381145760416985,-430.78082074810226,5712937.472665411,0.907261361856009,0.08410486428807037,22,,1500000.0,-4212937.472665411,421.2937472665412,0.5129265184389427,True
3468,,0.013261547312140465,0.06904296875,-1.9381145760416985,-325.7063416063894,4662799.322371939,0.8807074422854884,0.21436852680570276,18,,1500000.0,-3162799.322371939,316.2799322371939,0.573590630804492,True
3502,,0.013261547312140465,0.06904296875,-1.9381145760416985,-239.08241480509488,3795487.2726654112,0.6384095917882089,0.09117343140753514,19,,1500000.0,-2295487.2726654112,229.54872726654114,0.4663124614462639,True
3536,,0.013261547312140465,0.06904296875,-1.9381145760416985,-436.18271737122905,5768480.192429016,0.9804614952119828,0.5001006062286099,23,,1500000.0,-4268480.192429016,426.84801924290167,0.6653018716726387,True
3570,,0.013261547312140465,0.06904296875,-1.9381145760416985,-243.862370044489,3843545.783015914,0.7120029255172959,0.0842812896528495,18,,1500000.0,-2343545.783015914,234.3545783015914,0.49220825710239674,True
3604,,0.013261547312140465,0.06904296875,-1.9381145760416985,-370.3708916728193,5109192.783015914,0.8898079181770672,0.16385585259257418,20,,1500000.0,-3609192.7830159143,360.9192783015914,0.5483866287720961,True
3638,,0.013261547312140465,0.06904296875,-1.9381145760416985,-226.04392804816428,3664823.0830159136,0.55859857479129,0.09112298628563435,16,,1500000.0,-2164823.0830159136,216.48230830159136,0.4383802534270792,True
3672,,0.013261547312140465,0.06904296875,-1.9381145760416985,-119.43604079631803,2698825.9706874983,0.5050100002133009,0.09107428238878397,15,,1500000.0,-1198825.9706874983,119.88259706874985,0.4465562724318154,True
3706,,0.013261547312140465,0.06904296875,-1.9381145760416985,-532.9209855231022,4538991.825813185,1.0,0.9999999804294817,15,,-698825.9706874983,-5237817.796500684,523.7817796500684,0.8607941269662358,True
3740,,0.013261547312140465,0.06904296875,-1.9381145760416985,-346.6634771862835,4872239.172665411,0.9017909788604781,0.16383295172117415,21,,1500000.0,-3372239.1726654107,337.2239172665411,0.5604400802575707,True
3774,,0.013261547312140465,0.06904296875,-1.9381145760416985,-344.9181073411359,4854589.472665411,0.7617968810921423,0.2833535765214973,22,,1500000.0,-3354589.4726654114,335.45894726654114,0.5408399254052576,True
3808,,0.013261547312140465,0.06904296875,-1.9381145760416985,-423.4039524864772,5639165.322371939,0.8931932674551908,0.09416471499892241,19,,1500000.0,-4139165.322371939,413.91653223719396,0.5125797507167935,True
3842,,0.013261547312140465,0.06904296875,-1.9381145760416985,-307.2565025609809,4479162.122371939,0.918213671544742,0.43265053896456535,16,,1500000.0,-2979162.122371939,297.9162122371939,0.6597096762130283,True
3876,,0.013261547312140465,0.06904296875,-1.9381145760416985,-166.01645662119293,3165978.7726654112,0.7784373852366437,0.22380921728218708,18,,1500000.0,-1665978.7726654112,166.59787726654113,0.5814206453482053,True
3910,,0.013261547312140465,0.06904296875,-1.9381145760416985,-336.4269340208763,2105330.900417655,0.9719049364046921,0.2661316248041294,9,,-1165978.7726654112,-3271309.673083066,327.1309673083066,0.7040332874302965,True
3944,,0.013261547312140465,0.06904296875,-1.9381145760416985,-465.22218582869584,6058413.483015914,0.9878724029852303,0.3660611848424354,23,,1500000.0,-4558413.483015914,455.8413483015915,0.6191624728956391,True
