timesteps,total_reward,kl_divergence,clip_fraction,entropy_loss,step_reward,cost_of_intervention,pressure_deficit,demand_satisfaction,pipe_changes,downgraded_pipes,budget_before_step,cumulative_budget,debt_penalty_applied,base_reward,simulation_success
34,,,,,-47.39262065832083,5297628.592429016,0.9125915989003834,0.2703367894039071,19,,1500000.0,-3797628.592429016,37.97628592429016,0.5836652659693279,True
68,,,,,-43.04879731916809,4858084.922371939,0.8769196936661386,0.10092041617758024,17,,1500000.0,-3358084.922371939,33.58084922371939,0.5320519045513047,True
102,,,,,-39.259169286120965,4471643.270013598,0.5892386566633017,0.19569438963422936,18,,1500000.0,-2971643.270013598,29.71643270013598,0.4572634140150119,True
136,,,,,-39.327922519837,4486550.370013597,0.8748181240238175,0.08417160180023393,18,,1500000.0,-2986550.3700135974,29.865503700135978,0.5375811802989788,True
170,,,,,-38.49136336287256,4399774.892429016,0.7849187733861266,0.09118094136857681,20,,1500000.0,-2899774.8924290156,28.997748924290157,0.5063855614175944,True
204,,,,,-11.788548364696334,2730889.070013597,0.68959826716979,0.09418794455746034,16,,1500000.0,-1230889.0700135971,12.308890700135972,0.5203423354396376,True
238,,,,,-58.63656690763118,4199191.546243298,0.9610518822092804,0.36201024607257776,16,,-730889.0700135971,-4930080.616256895,49.300806162568946,0.6642392549377654,True
272,,,,,-52.73859750511506,5828887.72237194,0.9339896758106814,0.18483131821261645,22,,1500000.0,-4328887.72237194,43.288877223719396,0.5502797186043351,True
306,,,,,-53.99200434743976,5954820.622371939,0.9238685332345835,0.23094077697509321,23,,1500000.0,-4454820.622371939,44.5482062237194,0.5562018762796399,True
340,,,,,-47.123166280955395,5267663.322371939,0.9220149022954458,0.1540479889157358,22,,1500000.0,-3767663.322371939,37.67663322371939,0.5534669427639975,True
374,,,,,-46.93171264664088,5241654.383015914,0.8007563543257719,0.0842812896528495,22,,1500000.0,-3741654.383015914,37.41654383015914,0.4848311835182623,True
408,,,,,-43.204651153775416,4877095.170013597,0.8792672037855829,0.21389597608675928,21,,1500000.0,-3377095.1700135972,33.770951700135974,0.5663005463605606,True
442,,,,,-41.092777805042005,4657370.770013598,0.6940468392407962,0.1538252748354468,20,,1500000.0,-3157370.770013598,31.57370770013598,0.48092989509397416,True
476,,,,,-34.56842501123772,4007013.9706874983,0.7359331657846848,0.10077374366790662,18,,1500000.0,-2507013.9706874983,25.070139706874986,0.501714695637262,True
510,,,,,-48.93667016978807,5445196.870687499,0.8582391470947291,0.13000351156775328,22,,1500000.0,-3945196.8706874987,39.45196870687499,0.5152985370869225,True
544,,,,,-35.15268515159197,4078739.270687498,0.8915027226643323,0.3439896524778041,17,,1500000.0,-2578739.270687498,25.787392706874982,0.6347075552830158,True
578,,,,,-60.535698595139735,6606323.522371938,0.9598271905735893,0.1540479889157358,21,,1500000.0,-5106323.522371938,51.06323522371939,0.527536628579654,True
612,,,,,-54.69620247123853,6023112.672665411,0.9516262184780248,0.12998661528599534,24,,1500000.0,-4523112.672665411,45.23112672665411,0.5349242554155789,True
646,,,,,-41.32783517453082,4694953.270687498,0.9194326312422119,0.32637837435121586,19,,1500000.0,-3194953.270687498,31.949532706874983,0.6216975323441685,True
680,,,,,-38.57894866186372,4414009.470687498,0.8683886272618148,0.16387796815974592,19,,1500000.0,-2914009.4706874983,29.140094706874986,0.5611460450112644,True
714,,,,,-47.89542891324766,5340054.522371938,0.8589635840762706,0.08434816600818977,21,,1500000.0,-3840054.5223719385,38.40054522371939,0.5051163104717297,True
748,,,,,-34.31435269604138,3990467.783015914,0.8368433280504207,0.2599034607030768,16,,1500000.0,-2490467.783015914,24.90467783015914,0.5903251341177587,True
782,,,,,-50.272078372783916,5572526.883015914,0.6873423512251451,0.16385585259257418,21,,1500000.0,-4072526.883015914,40.725268830159145,0.4531904573752263,True
816,,,,,-46.24563445699228,5180278.822371939,0.9694444524408496,0.09416471499892241,20,,1500000.0,-3680278.822371939,36.802788223719396,0.5571537667271214,True
850,,,,,-59.086645041326456,6471320.472665411,0.9844362856300418,0.4375114202398938,21,,1500000.0,-4971320.472665411,49.71320472665412,0.6265596853276668,True
884,,,,,-47.3389842127051,5285604.822371939,0.8722288674366947,0.10092041617758024,17,,1500000.0,-3785604.822371939,37.8560482237194,0.5170640110142999,True
918,,,,,-45.44332249377463,5097119.092429017,0.897419649164352,0.08407858878449362,22,,1500000.0,-3597119.0924290167,35.97119092429017,0.5278684305155428,True
952,,,,,-33.70281592357686,3915860.492429016,0.6190601413821603,0.09420018336320754,17,,1500000.0,-2415860.492429016,24.158604924290163,0.4557890007133059,True
986,,,,,-50.307883595763144,5584928.822371939,0.8773555712622668,0.20581998892398654,21,,1500000.0,-4084928.822371939,40.8492882237194,0.541404627956252,True
1020,,,,,-47.062357012265906,5259106.592429017,0.809437695834842,0.22074938987621728,21,,1500000.0,-3759106.5924290167,37.59106592429017,0.5287089120242674,True
1054,,,,,-48.07032240266135,5369507.4726654105,0.945873632581704,0.37026579191154785,19,,1500000.0,-3869507.4726654105,38.695074726654106,0.6247523239927603,True
1088,,,,,-47.11234974377676,5261776.770013598,0.7438058132426686,0.230895064319273,22,,1500000.0,-3761776.770013598,37.61776770013598,0.5054179563592157,True
1122,,,,,-60.64365365400375,6620816.468695759,0.9737624084804671,0.26019733229335423,23,,1500000.0,-5120816.468695759,51.208164686957595,0.5645110329538453,True
1156,,,,,-40.74734892209748,4629160.170013597,0.8949190743672627,0.09418794455746034,21,,1500000.0,-3129160.1700135972,31.291601700135974,0.5442527780384936,True
1190,,,,,-40.36209717300635,4593845.883015914,0.8699319848120934,0.23092345938067332,20,,1500000.0,-3093845.883015914,30.938458830159142,0.5763616571527972,True
1224,,,,,-36.59974984605746,4217646.522371938,0.8996288513243081,0.1540479889157358,19,,1500000.0,-2717646.5223719385,27.176465223719386,0.5767153776619226,True
1258,,,,,-38.44188346582932,4382757.070687499,0.48194819018139756,0.09107428238878397,19,,1500000.0,-2882757.070687499,28.82757070687499,0.3856872410456674,True
1292,,,,,-36.90899851625603,4250869.070687498,0.9092030502603431,0.2212681031143849,18,,1500000.0,-2750869.070687498,27.508690706874983,0.5996921906189572,True
