timesteps,total_reward,kl_divergence,clip_fraction,entropy_loss,step_reward,cost_of_intervention,pressure_deficit,demand_satisfaction,pipe_changes,downgraded_pipes,budget_before_step,cumulative_budget,debt_penalty_applied,base_reward,simulation_success
2482,,0.012750913389027119,0.116064453125,-1.934801072999835,-32.355852426393476,3790651.9830159135,0.8018335513610348,0.15396362950479947,16,,1500000.0,-2290651.9830159135,22.906519830159137,0.5506674037656631,True
2516,,0.012750913389027119,0.116064453125,-1.934801072999835,-35.16850327883801,4053730.883015914,0.41961152269048807,0.0842812896528495,17,,1500000.0,-2553730.883015914,25.53730883015914,0.36880555132112963,True
2550,,0.012750913389027119,0.116064453125,-1.934801072999835,-31.00325615007838,3653624.592429016,0.7919558624965085,0.09420018336320754,16,,1500000.0,-2153624.592429016,21.53624592429016,0.5329897742117816,True
2584,,0.012750913389027119,0.116064453125,-1.934801072999835,-39.510253943144605,4499544.783015913,0.7447639105521335,0.0842812896528495,16,,1500000.0,-2999544.7830159133,29.995447830159137,0.4851938870145366,True
2618,,0.012750913389027119,0.116064453125,-1.934801072999835,-48.96993647465664,5456055.1706874985,0.9315868030715236,0.2843723276062242,20,,1500000.0,-3956055.1706874985,39.56055170687499,0.5906152322183478,True
2652,,0.012750913389027119,0.116064453125,-1.934801072999835,-39.75324301259599,4544939.870687498,0.955179232967602,0.5115742940759639,18,,1500000.0,-3044939.870687498,30.44939870687498,0.6961556942789935,True
2686,,0.012750913389027119,0.116064453125,-1.934801072999835,-35.95292557530239,4158876.672665411,0.9414664714881195,0.2893423972947726,18,,1500000.0,-2658876.672665411,26.588766726654114,0.6358411513517312,True
2720,,0.012750913389027119,0.116064453125,-1.934801072999835,-29.458996461763217,3500175.270687498,0.8069511772863465,0.09107428238878397,18,,1500000.0,-2000175.2706874982,20.00175270687498,0.5427562451117637,True
2754,,0.012750913389027119,0.116064453125,-1.934801072999835,-11.767887066302297,2725836.8706874982,0.6168944067567099,0.09107428238878397,13,,1500000.0,-1225836.8706874982,12.258368706874984,0.4904816405726878,True
2788,,0.012750913389027119,0.116064453125,-1.934801072999835,-50.94319469701289,3428446.6258131857,0.9399017233101282,0.09608750285544132,11,,-725836.8706874982,-4154283.496500684,41.54283496500684,0.5996402679939496,True
2822,,0.012750913389027119,0.116064453125,-1.934801072999835,-30.354348955189852,3586229.9223719393,0.7265120458239568,0.0911038671868476,14,,1500000.0,-2086229.9223719393,20.862299223719393,0.5079502685295395,True
2856,,0.012750913389027119,0.116064453125,-1.934801072999835,-16.77847185653932,3226939.092429016,0.5780656137250624,0.19553158544217114,11,,1500000.0,-1726939.0924290158,17.26939092429016,0.490919067750841,True
2890,,0.012750913389027119,0.116064453125,-1.934801072999835,-49.34773018498263,2780827.0128215393,0.9669992137209623,0.4280535708974686,13,,-1226939.0924290158,-4007766.105250555,40.077661052505555,0.7299308675229214,True
2924,,0.012750913389027119,0.116064453125,-1.934801072999835,-40.536602510516474,4603623.1706874985,0.7837373769582189,0.09107428238878397,18,,1500000.0,-3103623.1706874985,31.03623170687499,0.49962919635851727,True
2958,,0.012750913389027119,0.116064453125,-1.934801072999835,-41.67529245615137,4720266.72237194,0.8670892089746666,0.08434816600818977,18,,1500000.0,-3220266.7223719396,32.202667223719395,0.5273747675680253,True
2992,,0.012750913389027119,0.116064453125,-1.934801072999835,-40.6915182041979,4630895.183015914,0.9357412444141446,0.28387187951206383,19,,1500000.0,-3130895.1830159137,31.30895183015914,0.6174336259612395,True
3026,,0.012750913389027119,0.116064453125,-1.934801072999835,-49.83969578536358,5542187.022371938,0.9302870802065928,0.2667745323684617,22,,1500000.0,-4042187.0223719385,40.42187022371939,0.5821744383558047,True
3060,,0.012750913389027119,0.116064453125,-1.934801072999835,-47.621126502829796,5321636.4726654105,0.9486213284570586,0.26332802777074604,21,,1500000.0,-3821636.4726654105,38.216364726654106,0.5952382238243138,True
3094,,0.012750913389027119,0.116064453125,-1.934801072999835,-54.16415248864647,5970990.522371938,0.9386343325982858,0.1780756170339586,21,,1500000.0,-4470990.522371938,44.70990522371939,0.5457527350729163,True
3128,,0.012750913389027119,0.116064453125,-1.934801072999835,-32.57479803974026,3799547.4223719393,0.5173199528796375,0.10092041617758024,16,,1500000.0,-2299547.4223719393,22.995474223719395,0.4206761839791367,True
3162,,0.012750913389027119,0.116064453125,-1.934801072999835,-32.76012586369576,3825691.972665411,0.7093600595083939,0.10126529550443193,17,,1500000.0,-2325691.972665411,23.25691972665411,0.49679386295835387,True
