timesteps,total_reward,kl_divergence,clip_fraction,entropy_loss,step_reward,cost_of_intervention,pressure_deficit,demand_satisfaction,pipe_changes,downgraded_pipes,budget_before_step,cumulative_budget,debt_penalty_applied,base_reward,simulation_success
34,,,,,-41.77566598659742,4732781.683015914,0.9174886568097367,0.10101520937340903,21,,1500000.0,-3232781.6830159137,32.327816830159136,0.5521508435617155,True
68,,,,,-52.23961557196275,5779970.770687498,0.9704851638199053,0.16387796815974592,24,,1500000.0,-4279970.770687498,42.79970770687498,0.5600921349122298,True
102,,,,,-39.13721800649947,4471357.992429016,0.8734985286637256,0.2136470372921341,18,,1500000.0,-2971357.992429016,29.713579924290165,0.5763619177906993,True
136,,,,,-40.037130508245866,4564116.522371938,0.9441846469250599,0.22112422798436057,19,,1500000.0,-3064116.5223719385,30.641165223719387,0.6040347154735194,True
170,,,,,-41.37334435321397,4695812.472665411,0.9253062178050081,0.1955775699842103,19,,1500000.0,-3195812.4726654114,31.958124726654116,0.5847803734401434,True
204,,,,,-47.36840151590497,5279175.470013597,0.6447834180376134,0.09115434727552126,22,,1500000.0,-3779175.470013597,37.791754700135975,0.4233531842310022,True
238,,,,,-40.90493089256688,4633631.892429016,0.5862519930857393,0.1299853346989192,19,,1500000.0,-3133631.8924290156,31.336318924290158,0.4313880317232748,True
272,,,,,-34.34043744663221,3991899.9700135975,0.9318325949136554,0.09418794455746034,19,,1500000.0,-2491899.9700135975,24.918999700135977,0.5785622535037647,True
306,,,,,-15.33214743970881,3087043.5700135976,0.7640454415270642,0.09115434727552126,12,,1500000.0,-1587043.5700135976,15.870435700135978,0.5382882604271676,True
340,,,,,-53.09046656609666,3289854.1462432984,0.985460939395881,0.28407472564309394,14,,-1087043.5700135976,-4376897.716256896,43.768977162568966,0.6785105964723076,True
374,,,,,-19.178560091992576,3471731.6706874985,0.7924636538837354,0.09415110014959387,15,,1500000.0,-1971731.6706874985,19.717316706874985,0.5387566148824091,True
408,,,,,-56.98775946272888,3287104.1258131857,0.9332388170750373,0.09371609745229482,12,,-1471731.6706874985,-4758835.796500685,47.58835796500685,0.6005985022779661,True
442,,,,,-50.6658629562459,5614557.170013597,0.8091115860072474,0.09418794455746034,19,,1500000.0,-4114557.1700135972,41.145571700135974,0.47970874389007107,True
476,,,,,-32.291153734618156,3774609.2700135973,0.6083894078282078,0.09115434727552126,18,,1500000.0,-2274609.2700135973,22.746092700135975,0.45493896551781987,True
510,,,,,-47.11048428794727,5265534.672665411,0.8555884209189523,0.2137173531852903,21,,1500000.0,-3765534.6726654107,37.65534672665411,0.5448624387068398,True
544,,,,,-32.5520874051052,3808330.092429016,0.7547460163290667,0.15370795016363648,15,,1500000.0,-2308330.092429016,23.08330092429016,0.5312135191849596,True
578,,,,,-44.60316473634767,5012699.183015914,0.8806916228923206,0.0842812896528495,20,,1500000.0,-3512699.1830159137,35.12699183015914,0.5238270938114706,True
612,,,,,-40.47142700571725,4596657.883015914,0.7696854653429626,0.09417351274062419,17,,1500000.0,-3096657.883015914,30.96657883015914,0.4951518244418875,True
646,,,,,-43.97319016012247,4955850.522371938,0.8982496873931185,0.2600188311898039,21,,1500000.0,-3455850.5223719385,34.558505223719386,0.5853150635969175,True
680,,,,,-41.723339374474044,4722585.070687498,0.7977561790200153,0.09415110014959387,18,,1500000.0,-3222585.070687498,32.22585070687498,0.5025113324009345,True
714,,,,,-45.26573594931048,5078537.570013597,0.8753535360557938,0.08417160180023393,18,,1500000.0,-3578537.5700135967,35.78537570013597,0.519639750825489,True
748,,,,,-39.61137230534673,4518374.422371939,0.8615205049854122,0.22112422798436057,20,,1500000.0,-3018374.422371939,30.18374422371939,0.5723719183726628,True
782,,,,,-47.033232694254785,5261230.792429016,0.933251926528891,0.22376863187084803,19,,1500000.0,-3761230.792429016,37.612307924290164,0.579075230035377,True
816,,,,,-45.826353207985996,5136751.983015914,0.8361206618700779,0.2141895396601138,19,,1500000.0,-3636751.9830159144,36.36751983015915,0.541166622173153,True
850,,,,,-61.23587681819416,6678538.483015914,0.9546282836848993,0.24160030141293048,25,,1500000.0,-5178538.483015914,51.785384830159146,0.5495080119649877,True
884,,,,,-45.25255459804136,5083544.270013597,0.8969642520759603,0.2666969845541774,20,,1500000.0,-3583544.270013597,35.83544270013597,0.5828881020946158,True
918,,,,,-46.90158605806757,5239911.783015913,0.8198237769298574,0.10101520937340903,17,,1500000.0,-3739911.7830159133,37.399117830159135,0.4975317720915636,True
