timesteps,total_reward,kl_divergence,clip_fraction,entropy_loss,step_reward,cost_of_intervention,pressure_deficit,demand_satisfaction,pipe_changes,downgraded_pipes,budget_before_step,cumulative_budget,debt_penalty_applied,base_reward,simulation_success
34,,,,,-380.41200391264266,5210061.622371939,0.9241072707607484,0.28100750190117396,17,,1500000.0,-3710061.622371939,371.0061622371939,0.594158324551271,True
68,,,,,-421.3793658209096,5619711.122371939,0.9790015623285263,0.24165374431735506,21,,1500000.0,-4119711.122371939,411.9711122371939,0.5917464162843051,True
102,,,,,-348.18797635845203,4886866.192429016,0.7953172638037678,0.10130253594729073,19,,1500000.0,-3386866.1924290163,338.68661924290166,0.498642884449612,True
136,,,,,-373.89720973589084,5144628.422371939,0.8853258464375108,0.23094077697509321,21,,1500000.0,-3644628.422371939,364.4628422371939,0.5656325013030948,True
170,,,,,-319.58790888715004,4600818.1706874985,0.7741867570686327,0.08445163887047122,20,,1500000.0,-3100818.1706874985,310.08181706874984,0.49390818159979655,True
204,,,,,-391.9574759774536,5325013.192429016,0.9495031221188525,0.09118094136857681,21,,1500000.0,-3825013.1924290163,382.5013192429017,0.5438432654480753,True
238,,,,,-275.0643975170194,4156027.7726654112,0.8386523617108266,0.10126529550443193,16,,1500000.0,-2656027.7726654112,265.6027772665411,0.538379749521719,True
272,,,,,-346.89942896312584,4874631.783015914,0.8724801107220879,0.2141895396601138,21,,1500000.0,-3374631.7830159143,337.4631783015914,0.563749338465561,True
306,,,,,-425.13744052542796,5657244.592429017,0.9388430832844654,0.2832763986712769,20,,1500000.0,-4157244.5924290167,415.7244592429017,0.5870187174737044,True
340,,,,,-358.0636757823493,4986741.22237194,0.9583798487373743,0.2667745323684617,18,,1500000.0,-3486741.2223719396,348.67412223719396,0.610446454844646,True
374,,,,,-317.8456249621401,4583657.270687498,0.831081209000984,0.09415110014959387,20,,1500000.0,-3083657.270687498,308.36572706874983,0.5201021066097264,True
408,,,,,-365.1651514379998,5057023.492429016,0.9047509054798168,0.10130253594729073,20,,1500000.0,-3557023.492429016,355.7023492429016,0.5371978049018251,True
442,,,,,-437.6456873272684,5782456.070687499,0.9725993682155205,0.2940717888853469,21,,1500000.0,-4282456.070687499,428.2456070687499,0.5999197414815232,True
476,,,,,-354.34790836566475,4949331.322371939,0.9193304062294917,0.23094077697509321,17,,1500000.0,-3449331.322371939,344.93313223719395,0.5852238715291935,True
510,,,,,-307.69253978754773,4482710.670013597,0.8668462125103111,0.230895064319273,19,,1500000.0,-2982710.6700135972,298.2710670013597,0.5785272138119584,True
544,,,,,-270.05627080870136,4105658.8726654113,0.6921480302483026,0.1955775699842103,20,,1500000.0,-2605658.8726654113,260.56588726654115,0.5096164578397823,True
578,,,,,-432.54438156605835,5730769.022371938,0.8474869827272512,0.23094077697509321,22,,1500000.0,-4230769.022371938,423.07690223719385,0.5325206711354775,True
612,,,,,-479.2325224808177,6197268.783015914,0.8978370404276826,0.0842812896528495,23,,1500000.0,-4697268.783015914,469.72687830159146,0.4943558207737892,True
646,,,,,-396.6759009711723,5373302.383015914,0.9831771689670977,0.41953235519664983,20,,1500000.0,-3873302.383015914,387.3302383015914,0.6543373304190734,True
680,,,,,-199.36208344276903,3499119.4830159135,0.7774747403118171,0.15396362950479947,17,,1500000.0,-1999119.4830159135,199.91194830159137,0.5498648588223267,True
714,,,,,-447.64118869122194,2883675.0182540244,0.9434931402696932,0.16434434825841274,10,,-1499119.4830159135,-4382794.501269938,438.2794501269939,0.6382614357719598,True
748,,,,,-348.78464444681686,4893130.3924290165,0.8777685290422279,0.09118094136857681,23,,1500000.0,-3393130.3924290165,339.31303924290165,0.5283947960848073,True
782,,,,,-153.86766914542795,3042765.792429016,0.43492076099570975,0.09420018336320754,16,,1500000.0,-1542765.792429016,154.27657924290162,0.4089100974736661,True
816,,,,,-559.6995760664221,4460224.012821539,0.9166582790124623,0.2317709501637035,16,,-1042765.792429016,-5502989.805250555,550.2989805250555,0.5994044586334306,True
850,,,,,-358.68339327846604,4991229.770687498,0.6087397634717134,0.16387796815974592,20,,1500000.0,-3491229.770687498,349.12297706874983,0.43958379028380873,True
884,,,,,-415.72355333199533,5563186.492429016,0.9592646975444409,0.27335603139853787,20,,1500000.0,-4063186.492429016,406.31864924290164,0.5950959109063222,True
918,,,,,-229.15775435284303,3696996.472665411,0.8198092121456877,0.09117343140753514,16,,1500000.0,-2196996.472665411,219.6996472665411,0.5418929136980705,True
952,,,,,-343.83304742263664,4842781.083015914,0.6110671628532942,0.16385585259257418,21,,1500000.0,-3342781.083015914,334.27810830159143,0.44506087895479807,True
986,,,,,-143.5866851164877,2940641.092429016,0.5461536832824404,0.16382954474235042,16,,1500000.0,-1440641.0924290158,144.0641092429016,0.4774241264138949,True
1020,,,,,-451.41707653406144,3479743.4128215397,0.9470241136023937,0.16428075953775395,11,,-940641.0924290158,-4420384.505250555,442.03845052505557,0.6213739909941202,True
1054,,,,,-395.4920751825579,5360709.383015914,0.9695298401017465,0.1848607111050524,19,,1500000.0,-3860709.383015914,386.0709383015914,0.5788631190334831,True
1088,,,,,-408.15389141782896,5487399.070687499,0.9023597581075452,0.3112140592396377,21,,1500000.0,-3987399.070687499,398.7399070687499,0.58601565092096,True
1122,,,,,-437.13406844286544,5776959.070687499,0.9431159424084075,0.20588401490473754,22,,1500000.0,-4276959.070687499,427.69590706874993,0.5618386258844893,True
1156,,,,,-489.19746117613846,6297255.122371939,0.9823287612122648,0.09416471499892241,25,,1500000.0,-4797255.122371939,479.7255122371939,0.5280510610554913,True
1190,,,,,-340.1155022429181,4805895.083015914,0.7277324624606349,0.10101520937340903,20,,1500000.0,-3305895.083015914,330.5895083015914,0.4740060586733135,True
1224,,,,,-344.9709822218085,4855495.572665411,0.9458446207275144,0.16383295172117415,21,,1500000.0,-3355495.572665411,335.5495572665411,0.5785750447325828,True
1258,,,,,-297.4326789421476,4379269.270013597,0.7455105226969547,0.10117069003274765,19,,1500000.0,-2879269.270013597,287.9269270013597,0.4942480592120688,True
