timesteps,total_reward,kl_divergence,entropy_loss,clip_fraction,step_reward,pipe_changes,cumulative_pipe_changes,cumulative_budget,pressure_deficit,demand_satisfaction,cost_of_intervention,simulation_success,weighted_cost,weighted_pd,weighted_demand,action_taken
1700,0.07467417,,,,0.07467416867189003,0,0,-797571.6487505762,2016.0444905090321,0.1771114992379825,0.32517744564567674,True,0.39999986992902176,0.29360836701848375,0.053133449771394746,0
3400,0.08294545,0.001901216572150588,-0.09971184327150695,0.0095703125,0.08294544814205394,0,0,-768399.7693705941,126.2900407648086,0.4328499974274616,0.3250545491319024,True,0.3999998699781804,0.2995996122141205,0.12985499922823848,0
5100,0.09249999,0.0006444765022024512,-0.07248265581438318,0.007861328125,0.09249998692364692,0,0,-988829.1897100047,0.0,0.7499999981123078,0.32549305813116214,True,0.39999986980277674,0.3,0.22499999943369234,0
6800,0.09154567,0.001480976352468133,-0.07574646838766057,0.012841796875,0.09154567034748054,0,0,-988921.5571438551,119.7328189086914,0.7194547745948334,0.3250545491319024,True,0.3999998699781804,0.29962040111817495,0.21583643237845002,0
8500,0.09249999,0.0008050862816162407,-0.050708387652412056,0.0080078125,0.09249998749279362,0,0,-750781.2760432393,0.0,0.7500000164991857,0.3250545491319024,True,0.3999998699781804,0.3,0.2250000049497557,0
10200,0.09249999,0.0008050862816162407,-0.050708387652412056,0.0080078125,0.09249998740477466,0,0,-882441.8375086323,0.0,0.7500000164991857,0.32725502294691544,True,0.39999986909799085,0.3,0.2250000049497557,0
11900,0.09249999,0.0004294007,-0.08985106872278266,0.00439453125,0.09249998692364692,0,0,-992958.09892603,0.0,0.7499999981123078,0.32549305813116214,True,0.39999986980277674,0.3,0.22499999943369234,0
13600,0.09249999,0.001105983,-0.0492810021241894,0.010498046875,0.09249998694053922,0,0,-994830.7039261374,0.0,0.7499999981123078,0.32507075059446305,True,0.3999998699716998,0.3,0.22499999943369234,0
15300,0.091565914,0.0005653529,-0.07006077951227781,0.00556640625,0.091565913989311,0,0,-774752.3113705848,0.7540881109237672,0.7188720464744116,0.32507075059446305,True,0.3999998699716998,0.2999976559790867,0.21566161394232347,0
17000,0.09249999,0.00044859853,-0.05614584856666625,0.010595703125,0.09249998694053922,0,0,-787802.5945503332,0.0,0.7499999981123078,0.32507075059446305,True,0.3999998699716998,0.3,0.22499999943369234,0
18753,0.07460385,0.00038858497,-0.06507814026263077,0.006982421875,0.0746038469798377,0,0,-850924.3297189976,2180.9518133544916,0.177007089564591,0.3234651388049235,True,0.3999998706139445,0.29293647231505515,0.0531021268693773,0
20506,0.092178285,0.0004641603,-0.05602579587430227,0.005126953125,0.09217828777467549,0.0,0,-989458.6769862938,83.40742523193359,0.7401471604173255,0.3258533623162774,True,0.3999998696586551,0.299738859962902,0.22204414812519765,0
22259,0.08952362,0.0004641603,-0.05602579587430227,0.005126953125,0.08952361966128454,0.0,0,-769527.9632443818,188.56702926635742,0.6527557026216381,0.32568349509918115,True,0.399999869726602,0.299409616099752,0.19582671078649141,0
22501,0.0,0.0004641603,-0.05602579587430227,0.005126953125,0.0,,0,,,,,False,,,,0
24201,0.09249999,0.0015909204,-0.0779599855595734,0.01650390625,0.09249998692364692,0.0,0,-863340.375974702,0.0,0.7499999981123078,0.32549305813116214,True,0.39999986980277674,0.3,0.22499999943369234,0
25954,0.092274114,0.0015241604,-0.0681059701659251,0.01064453125,0.0922741111980846,0.0,0,-933087.7456194708,1.2903079462051392,0.7424847341917403,0.3232739113007716,True,0.3999998706904355,0.29999582103288835,0.2227454202575221,0
27654,0.09249999,0.0017447668,-0.04830242055177223,0.01298828125,0.09249998683554134,0.0,0,-933471.2098047558,0.0,0.7499999988221241,0.3282280598523822,True,0.3999998687087761,0.3,0.22499999964663722,0
29354,0.09249999,0.0016227217,-0.04341583255882142,0.015966796875,0.09249998683554134,0.0,0,-793457.3480516635,0.0,0.7499999988221241,0.3282280598523822,True,0.3999998687087761,0.3,0.22499999964663722,0
31107,0.08954285,0.00068638107,-0.038496539628249594,0.00556640625,0.08954285020918634,0,0,-784854.385882141,64.29690101623535,0.652135745177375,0.32636292868869865,True,0.39999986945482857,0.2997879090838222,0.19564072355321252,0
32860,0.092230774,0.0010114984,-0.0373529066258925,0.005712890625,0.0922307729908059,0,0,-976744.3326124797,21.61964065551758,0.74126391796478,0.32636292868869865,True,0.39999986945482857,0.2999286850637964,0.222379175389434,0
34613,0.09249999,0.0010114984,-0.0373529066258925,0.005712890625,0.09249998801561661,0,0,-924307.0283802657,0.0,0.7500000318074052,0.3234651388049235,True,0.3999998706139445,0.3,0.22500000954222155,0
34642,0.0,0.0010114984,-0.0373529066258925,0.005712890625,0.0,0,0,-1000000.0101875154,14103.617561645506,0.10276143634420529,0.3244728935026491,True,0.3999998702108426,0.2556932856049304,0.030828430903261584,0
36395,0.09222411,0.0012059251,-0.048804012573964425,0.0107421875,0.09222411294054889,0,0,-761195.1169305763,41.81006652832031,0.74126391796478,0.32636292868869865,True,0.39999986945482857,0.29986208456122626,0.222379175389434,0
38095,0.09249999,0.0009091664,-0.03904546893245424,0.00654296875,0.09249998749279362,0,0,-950185.8208835712,0.0,0.7500000164991857,0.3250545491319024,True,0.3999998699781804,0.3,0.2250000049497557,0
39795,0.09249999,0.0006455026,-0.03519345192835317,0.004150390625,0.09249998749279362,0,0,-773564.4116054855,0.0,0.7500000164991857,0.3250545491319024,True,0.3999998699781804,0.3,0.2250000049497557,0
