timesteps,total_reward,kl_divergence,entropy_loss,clip_fraction,step_reward,pipe_changes,cumulative_budget,pressure_deficit,demand_satisfaction,cost_of_intervention,simulation_success,weighted_cost,weighted_pd,weighted_demand
34,0,0.0,0.0,0.0,-740.4661697790436,27,-7407684.6,122137.3,1.9485445744275966e-07,7557684.6,True,0.0,0.30229016250000007,5.845633723282789e-08
68,0,0.0,0.0,0.0,-584.6474220178965,27,-5848726.2,218502.6,1.903452839089724e-07,5998726.2,True,0.0,0.225197925,5.7103585172691724e-08
102,0,0.0,0.0,0.0,-506.68596357499996,22,-5067545.6,414254.47,0.0,5217545.6,True,0.0,0.068596425,0.0
136,0,0.0,0.0,0.0,-555.5092699608289,21,-5555092.7,712546.0,1.3057046109275367e-07,5705092.7,True,0.0,0.0,3.91711383278261e-08
170,0,0.0,0.0,0.0,-669.8929901053964,27,-6702172.1,94725.2,1.903452839089724e-07,6852172.1,True,0.0,0.32421983750000005,5.7103585172691724e-08
204,0,0.0,0.0,0.0,-507.76547083749995,22,-5080863.1,98951.05,0.0,5230863.1,True,0.0,0.3208391625,0.0
238,0,0.0,0.0,0.0,-483.6289599415437,20,-4836289.600000001,792210.5,1.9485445744275966e-07,4986289.600000001,True,0.0,0.0,5.845633723282789e-08
272,0,0.0,0.0,0.0,-577.5365799630366,23,-5775365.800000001,779879.56,1.232116759332875e-07,5925365.800000001,True,0.0,0.0,3.6963502779986246e-08
306,0,0.0,0.0,0.0,-671.4349251678966,25,-6716924.800000001,178056.53,1.903452839089724e-07,6866924.800000001,True,0.0,0.257554775,5.7103585172691724e-08
340,0,0.0,0.0,0.0,-587.7467065915438,26,-5878742.800000001,340533.3,1.9485445744275966e-07,6028742.800000001,True,0.0,0.12757335,5.845633723282789e-08
374,0,0.0,0.0,0.0,-657.661279960829,26,-6576612.800000001,811112.2,1.3057046109275367e-07,6726612.800000001,True,0.0,0.0,3.91711383278261e-08
408,0,0.0,0.0,0.0,-642.5809506880366,26,-6428338.4,183888.4,1.232116759332875e-07,6578338.4,True,0.0,0.25288927499999997,3.6963502779986246e-08
442,0,0.0,0.0,0.0,-585.9497794081195,23,-5859653.4,480549.2,-1.9373161963473218e-07,6009653.4,True,0.0,0.015560650000000021,-5.8119485890419654e-08
476,0,0.0,0.0,0.0,-681.3122201456196,26,-6815843.5,159837.61,-1.9373161963473218e-07,6965843.5,True,0.0,0.2721299125,-5.8119485890419654e-08
510,0,0.0,0.0,0.0,-685.77901,25,-6857790.1,561940.75,-1.9373161963473218e-07,7007790.1,True,0.0,0.0,-5.8119485890419654e-08
544,0,0.0,0.0,0.0,-796.4390779366464,28,-7967895.8,61872.492,1.903452839089724e-07,8117895.8,True,0.0,0.35050200625,5.7103585172691724e-08
578,0,0.0,0.0,0.0,-663.04547405,26,-6633558.800000001,111992.56,0.0,6783558.800000001,True,0.0,0.31040595000000004,0.0
612,0,0.0,0.0,0.0,-578.5774870581196,24,-5786087.7,460896.25,-1.9373161963473218e-07,5936087.7,True,0.0,0.031283,-5.8119485890419654e-08
646,0,0.0,0.0,0.0,-617.363928960829,24,-6175865.2,221761.25,1.3057046109275367e-07,6325865.2,True,0.0,0.22259099999999998,3.91711383278261e-08
680,0,0.0,0.0,0.0,-517.3671622608289,24,-5174318.0,419202.88,1.3057046109275367e-07,5324318.0,True,0.0,0.06463770000000002,3.91711383278261e-08
714,0,0.0,0.0,0.0,-595.65611,21,-5956561.1,845100.25,-1.9373161963473218e-07,6106561.1,True,0.0,0.0,-5.8119485890419654e-08
748,0,0.0,0.0,0.0,-855.8869599415438,31,-8558869.6,542076.2,1.9485445744275966e-07,8708869.6,True,0.0,0.0,5.845633723282789e-08
782,0,0.0,0.0,0.0,-496.04028,21,-4960402.8,810730.75,-1.9373161963473218e-07,5110402.8,True,0.0,0.0,-5.8119485890419654e-08
816,0,0.0,0.0,0.0,-603.3363399415438,24,-6033363.4,804689.25,1.9485445744275966e-07,6183363.4,True,0.0,0.0,5.845633723282789e-08
850,0,0.0,0.0,0.0,-555.0402299428965,23,-5550402.300000001,1627130.6,1.903452839089724e-07,5700402.300000001,True,0.0,0.0,5.7103585172691724e-08
884,0,0.0,0.0,0.0,-671.8265049665438,27,-6721065.800000001,149906.28,1.9485445744275966e-07,6871065.800000001,True,0.0,0.280074975,5.845633723282789e-08
918,0,0.0,0.0,0.0,-636.23336,25,-6362333.6,584290.25,-1.9373161963473218e-07,6512333.6,True,0.0,0.0,-5.8119485890419654e-08
952,0,0.0,0.0,0.0,-550.3350195831197,22,-5504588.300000001,345236.9,-1.9373161963473218e-07,5654588.300000001,True,0.0,0.12381047500000003,-5.8119485890419654e-08
986,0,0.0,0.0,0.0,-677.2080525380364,28,-6772160.6,489990.72,1.232116759332875e-07,6922160.6,True,0.0,0.008007425000000002,3.6963502779986246e-08
1020,0,0.0,0.0,0.0,-581.320185275,24,-5815448.4,219181.6,0.0,5965448.4,True,0.0,0.224654725,0.0
1054,0,0.0,0.0,0.0,-592.1182800000001,26,-5921182.800000001,751601.06,-1.9373161963473218e-07,6071182.800000001,True,0.0,0.0,-5.8119485890419654e-08
1088,0,0.0,0.0,0.0,-629.9240717678964,26,-6299918.5,415277.28,1.903452839089724e-07,6449918.5,True,0.0,0.06777817499999998,5.7103585172691724e-08
1122,0,0.0,0.0,0.0,-701.5406672500001,29,-7017131.6,284384.06,0.0,7167131.6,True,0.0,0.17249275000000003,0.0
1156,0,0.0,0.0,0.0,-565.79142,25,-5657914.2,818590.6,0.0,5807914.2,True,0.0,0.0,0.0
1190,0,0.0,0.0,0.0,-659.1688700000001,28,-6591688.7,1338290.1,-1.9373161963473218e-07,6741688.7,True,0.0,0.0,-5.8119485890419654e-08
1224,0,0.0,0.0,0.0,-619.0999457331194,24,-6192786.6,276607.1,-1.9373161963473218e-07,6342786.6,True,0.0,0.17871432500000003,-5.8119485890419654e-08
1258,0,0.0,0.0,0.0,-707.6024317428964,30,-7077490.3,316752.25,1.903452839089724e-07,7227490.3,True,0.0,0.14659819999999998,5.7103585172691724e-08
