timesteps,total_reward,kl_divergence,entropy_loss,clip_fraction,step_reward,pipe_changes,cumulative_budget,pressure_deficit,demand_satisfaction,cost_of_intervention,simulation_success,weighted_cost,weighted_pd,weighted_demand
1753,0.9249999,0.0,0.0,0.0,0.9249998752161555,0,9517693.73229691,0,0.750000018821487,0.32607572680765823,True,0.39999986956970934,0.3,0.2250000056464461
3506,0.7868565,0.000938385259360075,-0.1413409523316659,0.005517578125,0.7868564675127954,1,9319220.362558488,0,0.750000018821487,345358.84533412685,True,0.26185646186634925,0.3,0.2250000056464461
5259,0.7533861,0.0008846968412399292,-0.08144380220619496,0.00595703125,0.7533860629486622,1,6959043.2192936195,0,0.7500000287084057,429034.8641596486,True,0.22838605433614056,0.3,0.22500000861252167
7012,0.7533861,0.0004210136830806732,-0.0828250475518871,0.000927734375,0.7533860629486622,1,8702641.58724969,0,0.7500000287084057,429034.8641596486,True,0.22838605433614056,0.3,0.22500000861252167
8765,0.8153242,0.00019819152657873929,-0.09275794074055739,0.00087890625,0.8153241970397406,1,6439384.224116436,0,0.7500000287084057,274189.52893195266,True,0.2903241884272189,0.3,0.22500000861252167
10465,0.9249999,0.00023693914,-0.06901533012860454,0.00029296875,0.9249998749279361,0,8853221.888322353,0,0.7500000164991857,0.3250545491319024,True,0.3999998699781804,0.3,0.2250000049497557
12218,0.79290533,0.00023693914,-0.06901533012860454,0.00029296875,0.7929053455011824,1,6126891.779980797,0,0.7500000318074052,330236.6601025978,True,0.2679053359589609,0.3,0.22500000954222155
13918,0.9249999,0.001195132,-0.1319044817413669,0.01396484375,0.9249998749279361,0,9700840.945596006,0,0.7500000164991857,0.3250545491319024,True,0.3999998699781804,0.3,0.2250000049497557
15671,0.79961514,0.00082484196,-0.11700702878879383,0.0033203125,0.7996151483050414,1,6392358.379888924,0,0.7500000287084057,313462.15076870064,True,0.27461513969251977,0.3,0.22500000861252167
17371,0.9249999,0.00086023076,-0.08523512615065557,0.00234375,0.924999869236469,0,11987290.815566879,0,0.7499999981123078,0.32549305813116214,True,0.39999986980277674,0.3,0.22499999943369234
19124,0.6986464,0.0009374282,-0.09417427537264303,0.01171875,0.6986464478400766,1,4819209.223905984,0,0.7500000287084057,565883.9019311127,True,0.17364643922755493,0.3,0.22500000861252167
20877,0.8367146,0.00019980205,-0.08522939358081202,0.0,0.8367146033756434,1,5636965.168564799,0,0.750000018821487,220713.50567700682,True,0.3117145977291973,0.3,0.2250000056464461
22577,0.9249999,0.0030340883,-0.07711517716525122,0.0201171875,0.9249998749279361,0,9704592.977294605,0,0.7500000164991857,0.3250545491319024,True,0.3999998699781804,0.3,0.2250000049497557
24330,0.79290533,0.0030340883,-0.07711517716525122,0.0201171875,0.7929053455011824,1,7687442.650893788,0,0.7500000318074052,330236.6601025978,True,0.2679053359589609,0.3,0.22500000954222155
26083,0.79961514,0.0013163728,-0.16416013945126906,0.02255859375,0.7996151483050414,1,6840219.626788366,0,0.7500000287084057,313462.15076870064,True,0.27461513969251977,0.3,0.22500000861252167
27783,0.9249999,0.00066645246,-0.10765490909398068,0.007568359375,0.924999869236469,0,8199342.241932474,0,0.7499999981123078,0.32549305813116214,True,0.39999986980277674,0.3,0.22499999943369234
